name|team|ip|w|sv|hld|era|whip|so|hr|qs|bb|hbp|bf
Luis Curvelo|TEX|5.0|0|0|1|5.4|1.6|3|2|0|2|0|22
Enmanuel De Jesus|DET|6.7|1|0|0|5.4|1.95|8|0|0|4|0|34
Adrian Houser|SFG|21.7|0|0|0|5.4|1.57|11|2|0|7|1|101
Joe Mantiply|TOR|6.7|1|0|0|5.4|1.2|10|1|0|2|1|29
Dylan Moore|PHI|1.7|0|0|0|5.4|1.2|0|0|0|1|1|8
Mitchell Parker|WSH|5.0|1|0|0|5.4|1.4|7|1|0|0|0|23
Joel Payamps|ATL|3.3|0|0|1|5.4|1.8|5|1|0|1|0|16
David Peterson|NYM|23.3|0|0|0|5.4|1.67|22|1|0|10|2|110
Logan Webb|SFG|30.0|2|0|0|5.4|1.4|27|2|2|11|1|132
Greg Weissert|BOS|8.3|0|0|3|5.4|1.2|11|3|0|3|0|36
Kyle Bradish|BAL|19.7|1|0|0|5.49|1.63|21|1|0|10|0|88
Chris Paddack|MIA|19.3|0|0|0|5.59|1.45|18|4|1|5|1|87
Seranthony Domínguez|CHW|8.0|1|4|0|5.63|1.75|10|2|0|8|2|41
Yusei Kikuchi|LAA|24.0|0|0|0|5.63|1.63|27|3|1|11|1|111
Jose Quintana|COL|8.0|0|0|0|5.63|1.88|3|1|0|8|0|37
Ryan Yarbrough|NYY|8.0|0|0|0|5.63|1.25|4|1|0|3|2|34
Shaun Anderson|LAA|12.7|1|0|0|5.68|1.26|9|3|0|5|1|53
Zack Kelly|BOS|6.3|0|0|1|5.68|0.95|3|1|0|1|0|25
Angel Zerpa|MIL|11.0|0|2|2|5.73|1.73|5|1|0|5|0|47
Javier Assad|CHC|15.7|1|0|0|5.74|1.21|9|3|0|4|0|65
Kevin Kelly|TBR|9.3|2|2|2|5.79|0.96|9|1|0|4|1|37
Andrew Abbott|CIN|24.7|0|0|0|5.84|1.74|15|2|1|11|0|114
Emmet Sheehan|LAD|20.0|2|0|0|5.85|1.4|18|4|1|8|0|86
Cionel Pérez|WSH|10.7|1|0|4|5.91|1.59|7|2|0|5|0|47
Kyle Backhus|PHI|6.0|0|0|0|6.0|1.33|8|2|0|1|0|26
Ryan Feltner|COL|18.0|1|0|0|6.0|1.5|14|5|0|7|0|79
Hunter Gaddis|CLE|3.0|0|0|1|6.0|1.33|6|1|0|1|0|13
Colin Holderman|CLE|3.0|0|0|0|6.0|1.33|3|1|0|2|0|14
Cole Ragans|KCR|21.0|0|0|0|6.0|1.67|22|6|2|18|0|92
Zach Agnos|COL|13.3|0|1|0|6.08|1.65|13|1|0|6|0|60
Simeon Woods Richardson|MIN|20.7|0|0|0|6.1|1.6|11|4|1|7|0|92
Ryan Zeferjahn|LAA|10.3|1|0|0|6.1|1.45|13|0|0|6|1|47
Roki Sasaki|LAD|17.7|0|0|0|6.11|1.87|17|4|0|12|1|85
Lucas Erceg|KCR|7.3|0|5|1|6.14|1.5|5|0|0|3|0|30
John Schreiber|KCR|7.3|0|1|0|6.14|1.77|4|2|0|6|1|36
Jake Irvin|WSH|19.0|1|0|0|6.16|1.47|21|3|0|11|1|87
Chris Bassitt|BAL|16.0|0|0|0|6.19|2.13|7|1|0|11|3|83
Lance McCullers Jr.|HOU|20.3|1|0|0|6.2|1.33|21|2|1|9|2|86
Luis Severino|ATH|24.7|0|0|0|6.2|1.7|27|4|0|20|2|111
Michael Kelly|ATH|4.3|0|0|0|6.23|2.31|4|1|0|4|0|22
Tommy Nance|TOR|8.7|0|0|1|6.23|1.62|9|1|0|4|0|40
Luke Weaver|NYM|8.7|1|0|2|6.23|1.04|4|1|0|3|0|36
Osvaldo Bido|ATL|10.0|1|1|0|6.3|1.2|6|1|0|5|2|41
José Suarez|ATL|11.3|0|1|0|6.35|1.94|12|0|0|5|0|53
Jacob Lopez|ATH|18.3|1|0|0|6.38|1.96|16|3|0|17|0|90
Hunter Barco|PIT|7.0|0|0|1|6.43|2.14|5|3|0|7|1|37
Cole Henry|WSH|7.0|0|0|0|6.43|1.71|8|1|0|4|1|34
Connor Brogdon|CLE|8.3|2|1|2|6.48|1.08|8|2|0|2|0|35
Brayan Bello|BOS|18.7|1|0|0|6.75|1.93|13|3|1|12|0|92
Ryan Borucki|SFG|6.7|0|0|0|6.75|1.65|7|2|0|2|0|30
Matthew Boyd|CHC|9.3|1|0|0|6.75|1.18|17|1|0|3|0|37
Justin Bruihl|STL|10.7|0|0|4|6.75|1.59|6|1|0|8|0|49
Mike Burrows|HOU|26.7|1|0|0|6.75|1.69|25|5|0|9|1|122
Matt Festa|CLE|9.3|1|1|0|6.75|1.39|8|2|0|1|1|44
Mason Fluharty|TOR|8.0|0|0|3|6.75|1.63|11|1|0|4|0|37
Cameron Foster|BAL|2.7|0|0|0|6.75|2.63|5|0|0|3|0|15
Yoendrys Gómez|TBR|13.3|0|1|0|6.75|1.73|10|5|0|8|0|63
Hunter Harvey|CHC|4.0|0|0|0|6.75|1.5|4|2|0|1|0|18
