name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Victor Scott II|26|24|8|0|3|0|2|8|0|0|0|7|1|0
Willson Contreras|30|23|4|1|2|2|0|7|6|1|0|3|0|0
Kyle Tucker|31|29|7|1|6|4|2|9|2|0|0|5|1|0
JJ Wetherholt|30|27|7|1|6|4|1|6|2|0|1|6|0|0
Gabriel Arias|23|21|3|2|2|2|0|10|2|0|0|1|0|0
Gleyber Torres|31|23|5|0|5|0|0|5|8|0|0|5|0|0
Jacob Wilson|29|29|7|0|2|3|0|5|0|0|0|4|3|0
Bobby Witt Jr.|24|22|6|0|1|2|2|4|1|0|1|6|0|0
Fernando Tatis Jr.|29|25|5|0|2|2|2|5|4|0|0|4|1|0
Deyvison De Los Santos|2|2|1|0|0|0|0|0|0|0|0|0|1|0
Braxton Fulford|5|5|2|1|2|2|0|2|0|0|0|1|0|0
Austin Hedges|4|4|2|0|2|0|0|1|0|0|0|1|1|0
Jorge Mateo|4|4|1|1|2|2|0|1|0|0|0|0|0|0
Konnor Griffin|4|3|1|0|1|1|0|1|1|0|0|0|1|0
Nick Allen|4|4|2|0|3|0|0|1|0|0|0|2|0|0
Davis Schneider|7|7|2|1|2|3|0|2|0|0|0|1|0|0
Jorge Barrosa|6|6|2|0|1|0|0|2|0|0|0|0|2|0
Oneil Cruz|28|27|8|3|7|7|0|11|1|0|0|5|0|0
Tyler Heineman|8|7|3|0|3|0|0|1|1|0|0|3|0|0
Ezequiel Duran|11|11|3|1|2|3|0|3|0|0|0|1|1|0
Alex Freeland|14|11|2|1|2|1|0|4|3|0|0|0|1|0
Paul Goldschmidt|9|9|2|1|2|3|0|2|0|0|0|0|1|0
Rhys Hoskins|18|14|4|0|1|1|0|6|4|0|0|2|2|0
Christian Walker|30|27|8|0|3|7|0|5|3|0|0|3|5|0
Troy Johnston|20|19|6|1|1|3|0|5|0|0|0|4|1|0
Carlos Narvaez|13|12|5|0|1|0|0|4|0|0|0|5|0|0
Alec Burleson|31|25|7|1|3|5|1|2|5|0|1|5|1|0
Adolis Garcia|28|26|8|1|2|3|0|6|1|0|1|5|2|0
Miguel Rojas|11|11|4|0|1|0|0|2|0|0|0|3|1|0
Ian Happ|32|28|5|3|5|5|0|12|4|0|0|1|1|0
Gunnar Henderson|33|30|7|2|4|6|1|9|2|1|0|3|2|0
Everson Pereira|17|16|4|1|3|1|0|7|1|0|0|2|1|0
Jorbit Vivas|14|11|4|0|3|1|0|1|2|0|1|4|0|0
Austin Martin|16|11|3|0|1|2|1|3|4|1|0|3|0|0
Christian Vazquez|12|10|2|1|2|3|0|2|1|0|0|1|0|0
Eugenio Suarez|28|27|7|2|4|6|0|11|1|0|0|5|0|0
Nolan Gorman|23|22|5|2|3|6|0|6|1|0|0|3|0|0
Chase Meidroth|26|22|5|1|3|1|0|7|4|0|0|3|1|0
Shohei Ohtani|32|23|5|1|3|4|0|7|7|1|1|4|0|0
Justin Crawford|22|21|7|0|3|1|0|5|1|0|0|6|1|0
Vladimir Guerrero Jr.|31|24|7|0|2|2|0|2|6|1|0|7|0|0
Jordan Walker|26|23|5|1|6|3|0|6|3|0|0|2|2|0
Alex Bregman|32|28|6|2|2|3|0|4|4|0|0|4|0|0
Luis Arraez|34|32|10|0|3|3|2|3|1|0|1|8|1|1
Pete Alonso|31|27|7|1|3|2|0|10|4|0|0|6|0|0
Ernie Clement|29|29|9|0|2|2|0|1|0|0|0|6|3|0
Miguel Vargas|28|23|5|1|6|6|2|7|3|1|1|3|1|0
Manny Machado|28|22|5|0|3|0|0|6|6|0|0|3|2|0
Joey Loperfido|19|18|5|0|2|1|1|4|1|0|0|3|2|0
Colton Cowser|20|15|4|0|4|1|0|3|3|0|1|3|1|0
Will Smith|25|24|5|2|3|5|0|5|1|0|0|3|0|0
Kody Clemens|19|16|3|1|2|2|1|7|3|0|0|2|0|0
Lawrence Butler|18|17|4|1|3|4|0|3|1|0|0|3|0|0
Michael Busch|30|25|6|0|5|1|0|4|5|0|0|4|2|0
Mookie Betts|31|28|5|2|6|7|0|4|2|1|0|2|1|0
Casey Schmitt|25|22|6|0|0|2|1|6|1|2|0|5|1|0
Trent Grisham|28|22|4|0|4|3|1|5|6|0|0|2|1|1
Sam Haggerty|6|6|2|0|1|0|0|2|0|0|0|2|0|0
Marcus Semien|33|28|6|1|1|5|0|9|3|1|1|4|1|0
Willy Adames|33|31|7|1|2|3|0|12|2|0|0|4|2|0
Ryan Jeffers|20|17|4|0|4|0|0|6|3|0|0|3|1|0
Brayan Rocchio|28|22|5|0|3|3|0|3|3|2|0|4|1|0
Sal Frelick|26|21|3|1|3|2|0|5|4|1|0|1|1|0
Agustin Ramirez|24|19|4|0|2|0|1|5|4|1|0|3|1|0
Daniel Schneemann|22|22|5|0|3|2|1|5|0|0|0|1|4|0
Riley Greene|31|29|7|0|5|5|0|6|2|0|0|4|3|0
Ceddanne Rafaela|23|22|5|1|2|3|0|5|0|1|0|4|0|0
Nick Yorke|15|10|2|0|0|1|0|2|4|0|1|2|0|0
Henry Davis|20|17|3|0|2|3|0|4|2|1|0|1|2|0
Bryson Stott|21|20|5|0|1|2|1|4|1|0|0|4|1|0
Jose Ramirez|34|32|6|1|2|5|2|5|2|0|0|3|2|0
Alejandro Kirk|22|20|3|1|2|2|0|2|2|0|0|1|1|0
Jackson Merrill|29|27|5|1|4|4|0|6|2|0|0|3|1|0
Alec Bohm|31|26|4|1|3|7|0|2|4|1|0|3|0|0
David Hamilton|17|12|2|0|4|2|4|2|4|0|0|2|0|0
Graham Pauley|16|15|3|0|1|1|0|5|0|0|0|1|2|0
Luisangel Acuna|21|18|4|0|3|0|3|3|1|1|0|4|0|0
Masyn Winn|30|28|5|0|2|1|1|5|2|0|0|3|2|0
Jazz Chisholm Jr.|28|26|5|0|2|1|4|10|1|1|0|4|1|0
Tyler Freeman|1|1|1|0|0|1|0|0|0|0|0|1|0|0
Alex Call|1|0|0|0|1|0|0|0|1|0|0|0|0|0
Dalton Rushing|2|2|1|0|0|0|0|0|0|0|0|1|0|0
Andres Chaparro|7|6|2|0|1|0|0|2|1|0|0|1|1|0
Carlos Cortes|5|4|1|0|0|0|0|1|1|0|0|0|1|0
Nick Loftin|5|4|1|0|2|0|0|0|1|0|0|0|1|0
Dylan Beavers|18|18|6|1|3|3|0|3|0|0|0|4|1|0
Derek Hill|4|3|1|0|1|0|0|1|1|0|0|1|0|0
Kyle Farmer|3|2|1|0|0|1|0|0|0|0|1|1|0|0
Jake Fraley|16|16|5|0|1|0|0|3|0|0|0|2|3|0
Blaze Alexander|15|15|6|0|3|1|0|6|0|0|0|6|0|0
Nathaniel Lowe|4|4|1|0|0|1|0|0|0|0|0|0|1|0
Jerar Encarnacion|4|4|1|0|1|0|0|1|0|0|0|0|1|0
Bryce Johnson|6|5|1|0|0|0|0|4|1|0|0|0|1|0
Junior Caminero|32|26|7|0|3|0|0|6|6|0|0|6|1|0
David Fry|7|7|2|0|0|0|0|4|0|0|0|1|1|0
Hunter Goodman|30|28|7|1|4|2|0|11|2|0|0|5|1|0
Geraldo Perdomo|31|28|6|1|2|2|1|2|3|0|0|3|2|0
Teoscar Hernandez|25|25|8|0|4|2|0|9|0|0|0|7|1|0
Luis Torrens|6|6|2|0|0|1|0|2|0|0|0|2|0|0
Ramon Urias|12|12|2|1|1|1|0|6|0|0|0|0|1|0
George Springer|34|30|5|2|2|3|1|11|4|0|0|2|1|0
Victor Caratini|21|18|5|0|1|1|0|1|2|1|0|5|0|0
Roman Anthony|29|26|6|1|2|2|0|12|3|0|0|5|0|0
Keibert Ruiz|16|15|3|1|2|4|0|2|0|0|1|1|1|0
Tyler O'Neill|17|14|2|1|4|3|0|4|2|1|0|1|0|0
Hunter Feduccia|5|4|1|0|1|0|0|3|1|0|0|1|0|0
Trea Turner|32|30|8|0|7|1|1|6|2|0|0|6|2|0
Matt McLain|32|26|6|0|2|1|0|8|5|1|0|5|1|0
Jared Young|10|9|2|0|1|1|0|2|1|0|0|1|1|0
Tim Tawa|10|9|2|0|0|0|0|1|1|0|0|1|1|0
Salvador Perez|25|24|5|1|2|1|0|3|1|0|0|3|1|0
Michael Harris II|32|31|7|1|3|5|0|5|1|0|0|5|1|0
Pedro Pages|15|15|3|1|2|2|0|4|0|0|0|2|0|0
Carson Kelly|23|20|5|0|2|3|0|4|3|0|0|5|0|0
Steven Kwan|34|30|7|0|3|2|1|4|4|0|0|6|1|0
Matt Chapman|34|31|6|1|4|3|0|7|3|0|0|4|1|0
Kyle Higashioka|9|8|2|0|2|1|0|2|1|0|0|2|0|0
Luke Keaschall|31|28|7|0|2|3|1|3|2|0|1|6|1|0
Vinnie Pasquantino|25|20|4|0|2|4|0|4|3|1|1|3|1|0
Austin Riley|32|28|6|0|2|2|0|7|4|0|0|5|1|0
Jarren Duran|27|22|4|0|4|2|2|6|4|1|0|3|1|0
Yainer Diaz|25|22|5|0|2|4|0|6|2|0|1|4|1|0
Brice Matthews|17|16|2|1|1|2|0|9|1|0|0|0|1|0
Angel Martinez|23|18|3|0|2|0|1|5|2|2|0|2|1|0
Joey Bart|6|5|1|0|1|0|0|2|1|0|0|1|0|0
Thomas Saggese|12|10|2|0|1|0|0|4|2|0|0|2|0|0
Heliot Ramos|33|31|7|0|3|2|0|12|2|0|0|6|1|0
Wyatt Langford|32|32|6|0|2|2|0|7|0|0|0|3|1|2
Yoan Moncada|31|25|3|1|2|2|0|10|5|1|0|2|0|0
Andy Ibanez|10|9|2|0|1|2|0|2|1|0|0|2|0|0
Nasim Nunez|24|22|5|0|4|2|3|7|1|1|0|5|0|0
Jake Meyers|25|21|4|0|3|3|1|6|3|0|1|3|1|0
Javier Baez|18|17|4|0|1|2|1|5|1|0|0|4|0|0
Jeremy Pena|20|19|4|0|2|0|1|4|1|0|0|3|1|0
Mitch Garver|4|2|0|0|0|0|0|0|2|0|0|0|0|0
Dylan Moore|2|1|0|0|1|0|0|1|1|0|0|0|0|0
Jeferson Quero|2|1|0|0|0|0|0|0|1|0|0|0|0|0
Mickey Moniak|4|4|1|0|1|0|0|1|0|0|0|1|0|0
Andrew Vaughn|4|4|1|0|0|1|0|0|0|0|0|1|0|0
Travis d'Arnaud|6|6|1|0|1|0|0|3|0|0|0|0|1|0
Jake Rogers|6|6|1|0|1|1|0|2|0|0|0|0|1|0
Andruw Monasterio|6|6|1|0|0|0|0|2|0|0|0|0|1|0
Carson Benge|26|23|3|1|3|2|3|8|3|0|0|2|0|0
Drew Millas|13|11|2|0|0|2|0|4|2|0|0|2|0|0
Nathan Lukes|11|10|2|0|2|1|0|2|1|0|0|2|0|0
Parker Meadows|20|18|3|0|2|2|2|4|1|1|0|2|1|0
Leo Rivas|27|25|4|0|2|1|0|10|2|0|0|3|0|1
Austin Wells|21|18|3|0|2|0|0|7|3|0|0|3|0|0
Denzel Clarke|19|17|3|0|2|2|0|9|2|0|0|3|0|0
Luis Campusano|7|7|1|0|0|1|0|3|0|0|0|0|1|0
Coby Mayo|20|17|2|0|2|1|1|7|3|0|0|1|1|0
James McCann|10|9|1|0|1|0|0|4|1|0|0|0|1|0
Austin Wynns|5|5|1|0|0|0|0|0|0|0|0|1|0|0
Ryan Mountcastle|5|5|1|0|0|0|0|1|0|0|0|1|0|0
Jose Trevino|8|7|1|0|0|0|0|2|1|0|0|1|0|0
Eli White|10|9|1|0|1|0|0|2|1|0|0|1|0|0
Jonah Heim|10|7|0|0|1|0|0|2|3|0|0|0|0|0
Ryan Ritter|7|7|1|0|1|0|0|3|0|0|0|1|0|0
Adam Frazier|4|3|0|0|1|0|0|1|1|0|0|0|0|0
Isiah Kiner-Falefa|5|4|0|0|1|0|0|2|1|0|0|0|0|0
Curtis Mead|5|4|0|0|0|0|0|0|1|0|0|0|0|0
James Outman|6|5|0|0|1|0|2|1|1|0|0|0|0|0
Ty France|3|3|0|0|0|0|0|2|0|0|0|0|0|0
Jahmai Jones|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Jose Fermin|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Leo Jimenez|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Tyler Tolbert|2|2|0|0|0|0|1|1|0|0|0|0|0|0
Shay Whitcomb|2|2|0|0|0|0|0|2|0|0|0|0|0|0
Isaac Collins|19|15|3|1|3|2|0|5|3|1|0|1|1|0
Bryce Harper|31|28|5|2|4|4|0|5|3|0|0|2|1|0
Bryan Reynolds|32|30|6|2|6|4|0|11|2|0|0|4|0|0
Rafael Devers|34|31|7|1|2|1|0|10|3|0|0|5|1|0
Gavin Sheets|21|20|5|0|3|2|1|6|1|0|0|3|2|0
Dane Myers|13|13|4|0|0|1|0|3|0|0|0|4|0|0
Ivan Herrera|31|25|5|0|0|4|0|4|5|0|1|3|2|0
Colson Montgomery|29|26|5|1|2|5|1|10|3|0|0|4|0|0
Miguel Andujar|16|15|3|0|1|2|0|4|1|0|0|2|0|1
Jorge Polanco|28|23|4|0|2|1|0|3|5|0|0|2|2|0
Tyler Stephenson|18|17|3|1|1|2|0|4|1|0|0|2|0|0
Tyler Soderstrom|29|27|6|0|2|3|0|8|2|0|0|4|2|0
Jared Triolo|26|23|5|0|2|1|0|5|2|1|0|4|1|0
Jose Tena|11|11|3|0|2|2|0|4|0|0|0|3|0|0
Samuel Basallo|25|23|4|1|3|1|0|7|2|0|0|3|0|0
Pavin Smith|8|6|1|0|1|1|0|2|2|0|0|1|0|0
Connor Norby|24|20|3|0|1|1|0|6|1|3|0|1|2|0
Spencer Steer|24|21|3|1|2|3|0|8|2|0|1|1|1|0
Victor Robles|13|13|3|0|0|1|1|3|0|0|0|2|1|0
Brett Baty|28|28|6|0|4|4|1|9|0|0|0|4|1|1
Ketel Marte|34|30|5|1|3|2|0|4|4|0|0|4|0|0
Ronald Acuna Jr.|35|28|5|0|1|2|2|7|6|0|1|4|1|0
Gabriel Moreno|28|26|5|0|3|2|0|4|2|0|0|3|2|0
Jonathan India|20|19|3|1|2|5|0|4|1|0|0|2|0|0
Austin Hays|24|24|4|1|1|5|0|10|0|0|0|2|1|0
Nick Castellanos|13|12|2|0|0|0|0|3|1|0|0|1|1|0
Carter Jensen|18|16|2|1|1|2|0|8|1|0|1|1|0|0
Kyle Karros|24|22|4|0|1|0|2|8|2|0|0|3|1|0
Daulton Varsho|24|22|4|0|2|1|0|4|2|0|0|3|1|0
Byron Buxton|29|26|4|0|2|1|0|9|1|1|1|2|1|1
Logan O'Hoppe|22|20|4|0|1|2|0|5|1|1|0|4|0|0
Alek Thomas|27|26|4|0|2|4|2|7|1|0|0|1|3|0
Heriberto Hernandez|19|15|2|0|2|1|0|4|4|0|0|2|0|0
Dansby Swanson|27|21|3|0|2|3|0|8|5|0|1|3|0|0
Jake Mangum|20|18|3|0|1|0|0|5|1|0|0|2|1|0
Masataka Yoshida|14|8|0|0|0|0|0|2|6|0|0|0|0|0
Jake Cronenworth|27|24|4|0|4|0|0|7|3|0|0|4|0|0
Blake Perkins|10|9|1|0|1|1|0|1|1|0|0|0|1|0
Edouard Julien|10|9|1|0|0|0|0|5|1|0|0|0|1|0
Luis Rengifo|15|13|2|0|1|2|0|1|2|0|0|2|0|0
Cal Raleigh|33|29|4|0|0|4|1|16|4|0|0|3|1|0
Josh Lowe|26|24|2|1|1|3|0|12|2|0|0|0|1|0
Edgar Quero|19|17|3|0|1|0|0|4|1|0|0|3|0|0
Jose Caballero|26|24|4|0|2|1|3|7|2|0|0|4|0|0
Brett Sullivan|8|7|1|0|0|0|0|2|1|0|0|1|0|0
Bo Naylor|24|23|4|0|0|0|0|7|1|0|0|4|0|0
Zach McKinstry|12|12|2|0|0|0|0|3|0|0|0|2|0|0
Edmundo Sosa|10|9|1|0|1|2|0|2|1|0|0|1|0|0
Amed Rosario|7|6|1|0|0|1|0|1|0|0|1|1|0|0
Patrick Bailey|24|21|2|0|2|1|0|6|3|0|0|2|0|0
Ke'Bryan Hayes|21|19|2|0|1|0|0|1|2|0|0|2|0|0
Darell Hernaiz|7|7|1|0|0|0|0|2|0|0|0|1|0|0
Addison Barger|19|16|1|0|1|2|0|6|2|0|1|0|1|0
J.P. Crawford|4|3|0|0|0|0|0|2|1|0|0|0|0|0
Matt Vierling|8|8|1|0|0|0|0|2|0|0|0|1|0|0
Freddy Fermin|15|14|1|0|1|0|0|4|1|0|0|1|0|0
Michael Conforto|7|6|0|0|0|0|0|5|1|0|0|0|0|0
Ryan Vilade|9|8|0|0|0|0|0|5|1|0|0|0|0|0
Starling Marte|3|3|0|0|0|0|0|1|0|0|0|0|0|0
Randal Grichuk|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Reese McGuire|7|7|0|0|0|0|0|3|0|0|0|0|0|0
Austin Slater|8|7|0|0|0|1|0|3|0|0|1|0|0|0
Yohel Pozo|4|4|0|0|0|0|0|0|0|0|0|0|0|0
Santiago Espinal|2|2|0|0|0|0|0|1|0|0|0|0|0|0
J.C. Escarra|4|4|0|0|0|0|0|1|0|0|0|0|0|0
Bryce Teodosio|4|4|0|0|0|0|0|2|0|0|0|0|0|0
Ryan Bliss|2|2|0|0|0|0|0|2|0|0|0|0|0|0
Luis Garcia Jr.|25|25|7|0|2|3|0|3|0|0|0|5|2|0
Ben Williamson|24|24|7|0|4|2|0|5|0|0|0|6|1|0
Matt Wallner|31|28|4|2|4|2|0|14|3|0|0|2|0|0
Will Benson|14|13|2|0|0|1|0|5|1|0|0|1|0|1
Jo Adell|32|30|7|0|2|2|0|7|1|1|0|7|0|0
Jung Hoo Lee|32|27|4|0|3|4|0|4|4|0|1|1|3|0
Harrison Bader|31|28|4|1|3|3|0|9|2|0|1|2|1|0
Willi Castro|29|27|4|0|4|3|0|9|2|0|0|1|3|0
Brenton Doyle|26|24|4|0|3|0|1|8|2|0|0|3|1|0
Kerry Carpenter|29|25|4|0|1|1|0|13|4|0|0|4|0|0
Jeremiah Jackson|19|18|4|0|0|3|0|6|0|0|1|4|0|0
Matt Shaw|19|18|4|0|1|3|1|2|0|0|1|4|0|0
Jakob Marsee|30|26|3|0|3|2|1|9|3|0|1|1|1|1
Jordan Beck|18|16|2|0|1|4|1|4|2|0|0|1|1|0
Moises Ballesteros|21|19|3|0|1|2|0|7|2|0|0|3|0|0
Otto Kemp|8|7|1|0|0|0|0|4|0|1|0|1|0|0
Josh Smith|24|21|3|0|0|1|1|4|3|0|0|3|0|0
Brooks Lee|14|13|2|0|1|1|0|5|1|0|0|2|0|0
TJ Friedl|27|22|2|0|2|0|1|8|5|0|0|2|0|0
Carson Williams|25|23|3|0|4|3|0|9|1|0|0|2|1|0
Nolan Arenado|24|24|4|0|1|0|0|7|0|0|0|4|0|0
Julio Rodriguez|35|30|3|0|3|1|0|11|5|0|0|3|0|0
Nathan Church|19|19|3|0|2|2|0|7|0|0|0|3|0|0
Spencer Horwitz|20|18|2|0|1|1|0|7|2|0|0|2|0|0
Jeff McNeil|18|17|2|0|1|0|1|6|1|0|0|2|0|0
Nick Kurtz|26|21|1|0|3|0|1|13|5|0|0|1|0|0
Lane Thomas|14|13|1|0|0|0|0|5|1|0|0|1|0|0
Richie Palacios|10|8|0|0|1|0|0|1|1|1|0|0|0|0
Noelvi Marte|12|10|0|0|1|0|0|6|2|0|0|0|0|0
Joc Pederson|13|10|0|0|0|1|0|3|2|0|1|0|0|0
Rob Refsnyder|13|11|0|0|0|0|0|3|2|0|0|0|0|0
Tyrone Taylor|9|9|0|0|0|0|0|2|0|0|0|0|0|0
Lenyn Sosa|11|11|0|0|0|0|0|4|0|0|0|0|0|0
James Wood|35|31|4|1|4|3|0|14|4|0|0|0|3|0
Jorge Soler|36|30|4|1|4|6|0|15|5|0|1|2|1|0
Andrew Benintendi|20|19|4|0|0|1|0|10|1|0|0|4|0|0
Bo Bichette|38|36|7|0|3|5|0|10|1|0|1|5|2|0
