name|ip|w|sv|hld|so|hr|er|h|bb|tbf
Ryan Watson|3.2|0|0|0|3|0|2|2|5|18
Grant Holmes|5.0|0|0|0|4|1|3|5|2|22
Juan Mejia|3.1|0|0|0|1|0|2|5|1|15
Jordan Leasure|3.1|0|0|0|3|1|2|3|0|13
Colin Rea|3.0|0|1|0|4|1|2|4|0|13
Zach Pop|3.0|0|0|0|2|0|2|1|2|13
Michael Lorenzen|4.1|0|0|0|4|1|3|7|0|22
Sonny Gray|4.0|0|0|0|5|1|3|6|1|20
Bailey Ober|4.0|0|0|0|1|1|3|4|1|17
Jacob Lopez|4.0|0|0|0|0|0|3|5|5|22
Justin Wrobleski|4.0|0|0|0|2|0|3|4|1|17
Paul Blackburn|1.1|0|0|0|0|0|1|3|1|8
Kyle Leahy|5.0|0|0|0|1|0|4|8|2|24
Shota Imanaga|5.0|0|0|0|7|1|4|6|2|22
Bryan Hudson|2.1|0|0|0|3|0|2|3|3|14
Drew Pomeranz|3.1|0|0|2|2|0|3|3|2|16
Chris Bassitt|4.1|0|0|0|3|0|4|6|4|25
Luis Garcia|2.0|0|0|0|2|0|2|5|1|12
Joey Lucchesi|2.0|0|0|0|2|0|2|4|3|13
Elvis Alvarado|2.2|0|0|1|3|0|3|4|2|14
Emmet Sheehan|3.1|0|0|0|6|1|4|5|2|16
Jack Kochanowicz|4.0|0|0|0|3|0|5|4|5|22
Taijuan Walker|4.2|0|0|0|2|0|6|10|3|29
Chris Murphy|3.1|0|0|0|5|0|5|6|3|19
Mick Abel|3.1|0|0|0|4|0|5|8|4|20
Alex Lange|1.1|0|0|0|2|0|2|1|3|9
Tatsuya Imai|2.2|0|0|0|4|0|4|3|4|15
Will Vest|2.0|0|0|1|1|0|3|1|2|9
Jose Alvarado|2.1|0|0|0|3|0|4|5|2|13
Matt Svanson|3.0|0|0|0|3|0|6|6|3|19
Cody Laweryson|1.1|0|0|0|2|0|3|2|2|9
Matthew Pushard|1.0|0|0|0|1|0|3|3|1|7
Joe Ross|1.2|0|0|1|1|0|6|5|1|11
Kai-Wei Teng|3.1|1|0|0|3|1|1|2|1|13
Jake Irvin|5.0|1|0|0|7|2|2|3|1|20
Connor Brogdon|2.0|1|1|0|3|1|1|2|0|8
Garrett Cleavinger|2.1|1|0|2|3|0|2|3|4|14
Cade Smith|4.0|1|1|0|3|1|4|5|1|18
Jose Urquidy|1.0|0|1|0|0|0|0|1|1|4
Jacob Webb|2.0|0|0|0|2|1|0|1|2|9
Matthew Liberatore|11.0|0|0|0|4|2|2|10|3|46
Yoendrys Gomez|4.0|0|0|0|3|1|1|3|3|18
