name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Cole Young|42|39|10|2|7|8|0|13|2|1|0|5|2|1
JJ Wetherholt|44|36|10|1|8|4|2|9|6|1|1|9|0|0
Ildemaro Vargas|12|11|6|1|2|4|0|1|1|0|0|3|1|1
Mark Vientos|23|21|10|1|5|4|0|3|2|0|0|7|2|0
Francisco Alvarez|29|24|7|3|5|3|0|7|2|1|0|3|1|0
Chase DeLauter|39|35|10|5|7|9|0|9|3|0|1|5|0|0
Brendan Donovan|37|31|10|2|4|4|1|7|4|2|0|6|2|0
Garrett Mitchell|32|27|9|1|4|13|3|13|4|0|0|5|3|0
Giancarlo Stanton|35|33|13|1|3|6|1|8|2|0|0|10|2|0
Colt Keith|33|31|12|0|7|3|0|8|2|0|0|7|5|0
Teoscar Hernandez|36|34|12|2|7|7|1|11|2|0|0|9|1|0
Nick Fortes|31|29|10|1|3|6|0|4|1|1|0|6|3|0
Brice Turang|47|37|10|1|10|7|4|10|9|0|0|4|4|1
Shohei Ohtani|49|39|11|3|7|7|0|12|7|1|2|7|1|0
Jake Burger|43|41|13|2|5|7|0|15|1|1|0|7|4|0
Matt Olson|47|42|12|2|6|6|0|16|5|0|0|5|5|0
Luis Robert Jr.|38|30|10|1|6|6|2|5|8|0|0|9|0|0
Dillon Dingler|30|25|6|2|5|7|0|8|3|2|0|3|1|0
Freddie Freeman|45|42|11|3|6|12|0|3|2|1|0|4|4|0
Taylor Ward|46|39|13|0|3|5|0|9|6|0|1|8|5|0
William Contreras|42|34|9|1|7|8|0|6|8|0|0|4|4|0
Miguel Vargas|40|32|8|1|8|7|3|8|6|1|1|3|3|1
Adley Rutschman|29|24|7|0|3|2|0|3|5|0|0|3|4|0
J.T. Realmuto|32|25|6|1|4|1|0|6|5|2|0|4|1|0
Kazuma Okamoto|43|38|10|2|4|3|0|18|5|0|0|8|0|0
David Hamilton|30|19|5|0|7|2|4|4|9|0|0|5|0|0
Kyle Tucker|43|36|10|1|11|7|3|9|6|0|1|8|1|0
Andres Gimenez|40|37|9|2|2|8|2|6|3|0|0|6|0|1
Carlos Correa|48|42|11|1|9|9|1|6|6|0|0|8|2|0
Gleyber Torres|46|34|7|1|8|1|0|9|12|0|0|6|0|0
Evan Carter|34|29|7|0|4|0|1|10|5|0|0|4|3|0
Bobby Witt Jr.|44|37|10|0|1|3|5|8|6|0|1|10|0|0
Jorge Mateo|8|7|3|1|5|2|1|1|1|0|0|1|1|0
Gary Sanchez|16|13|4|3|4|5|0|6|3|0|0|1|0|0
Miguel Amaya|15|12|5|1|3|4|0|2|3|0|0|3|1|0
Alex Call|12|9|4|0|4|1|0|0|3|0|0|2|2|0
Leody Taveras|13|9|4|0|1|3|0|4|4|0|0|3|1|0
Ramon Urias|17|16|5|2|3|4|0|6|0|1|0|1|2|0
Brady House|40|36|12|2|7|5|0|12|4|0|0|7|3|0
Oneil Cruz|42|39|12|4|9|10|1|13|2|1|0|8|0|0
Trevor Larnach|20|15|5|0|4|2|0|1|5|0|0|3|2|0
Jordan Lawlar|20|18|6|1|3|2|1|6|1|1|0|4|1|0
Owen Caissie|31|27|8|2|4|9|1|11|3|0|1|4|2|0
Juan Soto|34|31|11|1|3|5|0|6|3|0|0|8|2|0
Jorbit Vivas|22|17|7|0|4|1|0|3|3|1|1|7|0|0
Munetaka Murakami|42|34|7|4|8|7|0|13|7|0|1|3|0|0
Mike Trout|46|33|7|2|8|3|2|12|11|2|0|4|1|0
Aaron Judge|40|36|9|3|8|7|1|13|3|1|0|5|1|0
Ian Happ|45|40|8|4|7|7|0|18|5|0|0|2|2|0
Elly De La Cruz|44|41|11|3|7|5|1|14|3|0|0|7|1|0
Will Smith|31|29|8|2|4|5|0|5|2|0|0|6|0|0
Manny Machado|41|31|7|1|6|4|0|9|10|0|0|4|2|0
Jeremy Pena|29|27|8|0|4|0|1|4|2|0|0|4|4|0
Jackson Merrill|39|36|9|2|7|7|1|7|3|0|0|5|2|0
Vladimir Guerrero Jr.|43|34|9|1|3|4|0|4|8|1|0|8|0|0
Jacob Young|26|24|6|1|3|4|1|4|2|0|0|3|2|0
Joey Loperfido|33|28|8|0|5|5|1|7|4|0|1|5|3|0
Marcus Semien|41|35|9|1|2|6|0|11|4|1|1|6|2|0
Parker Meadows|30|27|7|0|3|2|3|6|2|1|0|5|1|1
Daniel Susac|4|3|3|0|0|0|0|0|1|0|0|3|0|0
Carlos Cortes|10|8|4|0|1|2|0|1|2|0|0|2|2|0
Connor Wong|10|10|5|0|0|1|0|3|0|0|0|2|3|0
Austin Hedges|8|8|4|0|2|1|0|1|0|0|0|2|2|0
Andrew McCutchen|18|17|6|1|3|4|0|5|1|0|0|3|2|0
Christian Vazquez|18|16|5|1|2|5|0|3|1|0|0|2|2|0
Paul Goldschmidt|10|9|2|1|3|3|0|2|1|0|0|0|1|0
Troy Johnston|32|30|10|2|4|5|0|6|1|0|0|6|2|0
Max Muncy|36|35|11|2|8|5|1|12|1|0|0|6|3|0
Dominic Smith|26|24|7|2|6|6|0|4|2|0|0|5|0|0
Griffin Conine|17|15|4|1|4|2|1|4|1|1|0|2|1|0
Dominic Canzone|23|21|5|2|5|3|1|4|1|1|0|2|1|0
Masataka Yoshida|24|16|4|0|1|3|1|3|8|0|0|2|2|0
Javier Sanoja|24|24|9|0|1|5|0|3|0|0|0|6|3|0
Josh Bell|39|30|6|2|9|7|0|12|7|1|1|1|3|0
Kyle Schwarber|46|35|6|3|5|6|0|17|9|2|0|1|2|0
Tyler Heineman|15|13|5|0|3|0|0|1|1|1|0|5|0|0
Carter Jensen|27|24|6|2|4|5|0|10|2|0|1|3|1|0
Brandon Lockridge|27|23|8|0|5|4|3|3|3|0|0|7|1|0
Justin Crawford|33|31|11|0|5|1|1|6|2|0|0|9|2|0
Jesus Sanchez|28|24|7|1|4|4|0|6|2|2|0|6|0|0
Nick Yorke|20|14|4|0|1|2|0|3|4|1|1|3|1|0
Adolis Garcia|41|37|10|2|3|4|1|9|2|1|1|6|2|0
Jonathan Aranda|48|41|9|3|5|9|0|10|6|0|1|4|2|0
Davis Schneider|15|13|3|1|3|3|0|4|2|0|0|2|0|0
Gunnar Henderson|46|41|9|3|6|7|1|14|4|1|0|4|2|0
Brandon Marsh|40|37|11|1|4|6|1|8|2|0|1|7|3|0
Ramon Laureano|38|36|9|2|4|6|1|7|2|0|0|5|2|0
Isaac Paredes|26|22|5|0|4|5|0|6|2|2|0|1|4|0
Matt Chapman|46|42|11|1|6|6|0|8|4|0|0|7|2|1
Luis Torrens|12|12|4|0|2|4|0|2|0|0|0|3|1|0
Ozzie Albies|46|43|12|2|6|3|0|7|3|0|0|10|0|0
Nolan Schanuel|42|37|9|2|3|7|0|5|4|0|1|6|1|0
Chase Meidroth|38|33|8|1|4|1|0|8|5|0|0|5|2|0
Agustin Ramirez|38|30|7|0|4|1|1|9|7|1|0|5|1|1
Nick Gonzales|36|33|10|0|4|5|1|7|3|0|0|8|2|0
Max Muncy|34|30|8|1|6|1|0|12|4|0|0|7|0|0
Nick Allen|12|10|3|0|5|0|0|3|2|0|0|3|0|0
Mookie Betts|32|28|5|2|7|7|0|4|3|1|0|2|1|0
Steven Kwan|47|41|10|1|5|3|1|6|4|1|0|7|2|0
Francisco Lindor|48|37|5|0|7|0|1|8|10|1|0|3|0|2
Fernando Tatis Jr.|44|37|7|0|5|3|2|11|6|0|1|4|3|0
Henry Davis|27|23|4|0|2|3|0|4|3|1|0|2|2|0
Luisangel Acuna|32|29|7|0|4|0|4|4|1|1|0|7|0|0
Cal Raleigh|47|41|6|1|2|5|1|20|6|0|0|3|2|0
Deyvison De Los Santos|2|2|1|0|0|0|0|0|0|0|0|0|1|0
Braxton Fulford|5|5|2|1|2|2|0|2|0|0|0|1|0|0
Hyeseong Kim|5|4|2|0|1|0|0|0|1|0|0|2|0|0
Jared Young|15|13|5|0|2|1|0|2|2|0|0|3|2|0
Tristan Gray|17|14|4|1|1|8|0|5|2|0|1|2|1|0
Richie Palacios|18|13|3|1|4|2|2|1|3|2|0|2|0|0
Myles Straw|13|12|5|0|4|0|0|1|1|0|0|5|0|0
Jose Fernandez|16|16|4|2|2|4|1|4|0|0|0|2|0|0
Royce Lewis|33|26|5|2|6|6|1|10|6|1|0|1|2|0
Luis Garcia Jr.|37|36|11|1|5|6|0|4|1|0|0|6|3|1
Luke Raley|32|29|6|3|4|6|0|12|2|1|0|2|1|0
Rafael Marchan|8|7|1|1|1|2|0|1|0|1|0|0|0|0
Jonny DeLuca|19|18|5|1|4|4|0|3|1|0|0|3|1|0
Jonathan India|32|28|7|2|7|8|0|7|3|1|0|5|0|0
Junior Caminero|46|39|10|2|5|3|0|7|7|0|0|7|1|0
Everson Pereira|17|16|4|1|3|1|0|7|1|0|0|2|1|0
Ezequiel Duran|13|13|3|1|2|3|0|3|0|0|0|1|1|0
Jake Meyers|40|34|9|1|5|4|1|8|4|1|1|6|2|0
Sal Frelick|37|30|7|1|4|3|0|7|6|1|0|5|1|0
Bryan Reynolds|46|39|9|2|9|5|0|13|6|0|1|6|1|0
Matt Wallner|44|41|9|3|6|4|0|21|3|0|0|5|1|0
Roman Anthony|43|39|10|1|5|2|0|13|4|0|0|7|1|1
Zach McKinstry|20|19|5|1|1|5|0|5|1|0|0|4|0|0
Jac Caglianone|36|32|9|0|3|0|0|9|3|1|0|7|2|0
Trea Turner|46|43|12|0|9|3|1|10|3|0|0|8|4|0
Ezequiel Tovar|38|37|10|1|3|5|1|11|1|0|0|7|2|0
Austin Martin|24|17|4|0|2|2|1|4|6|1|0|4|0|0
Jorge Barrosa|13|13|3|0|3|0|0|4|0|0|0|0|3|0
Graham Pauley|17|16|4|0|2|3|0|5|0|0|0|1|3|0
Brayan Rocchio|38|30|6|1|4|4|0|4|5|2|0|4|1|0
Gabriel Arias|32|30|6|2|2|4|0|12|2|0|0|3|1|0
Casey Schmitt|25|22|6|0|0|2|1|6|1|2|0|5|1|0
Mike Yastrzemski|38|34|8|0|3|3|0|8|4|0|0|5|2|1
Luis Arraez|47|44|13|0|4|4|2|3|1|0|2|11|1|1
Ernie Clement|41|41|12|0|2|3|1|2|0|0|0|9|3|0
Colson Montgomery|39|35|7|2|3|6|1|13|4|0|0|5|0|0
Trent Grisham|38|29|5|0|6|4|1|7|9|0|0|3|1|1
Marcelo Mayer|31|27|5|1|5|3|0|10|2|0|1|1|3|0
Luke Keaschall|44|39|9|1|4|5|1|6|4|0|1|7|1|0
Oswald Peraza|34|31|7|1|2|2|1|11|2|0|0|5|1|0
Pedro Pages|22|20|4|1|3|3|0|6|0|2|0|3|0|0
Alec Bohm|44|39|8|1|3|8|0|5|4|1|0|6|1|0
Victor Scott II|37|32|9|0|4|2|2|9|0|0|0|8|1|0
Riley Greene|43|38|8|0|6|5|0|7|5|0|0|5|3|0
Joey Ortiz|28|26|7|0|5|3|3|8|2|0|0|7|0|0
Carlos Narvaez|24|22|6|0|2|0|0|5|1|0|0|6|0|0
Alejandro Kirk|22|20|3|1|2|2|0|2|2|0|0|1|1|0
Jacob Wilson|38|38|9|0|2|3|0|5|0|0|0|6|3|0
Nasim Nunez|34|31|7|0|4|3|6|8|2|1|0|7|0|0
Daniel Schneemann|27|27|5|0|3|2|1|7|0|0|0|1|4|0
Jazz Chisholm Jr.|38|36|7|0|2|3|4|12|1|1|0|4|3|0
Coby Mayo|27|23|4|0|2|1|1|9|4|0|0|3|1|0
Masyn Winn|35|32|6|0|3|1|1|6|3|0|0|4|2|0
Pete Crow-Armstrong|41|38|8|0|5|3|3|12|2|0|0|7|1|0
Taylor Walls|3|3|1|0|1|0|0|0|0|0|0|0|1|0
Andres Chaparro|7|6|2|0|1|0|0|2|1|0|0|1|1|0
Kyle Farmer|3|2|1|0|0|1|0|0|0|0|1|1|0|0
Tyler Freeman|5|5|2|0|0|1|1|0|0|0|0|2|0|0
Hunter Feduccia|11|9|3|0|1|1|0|4|2|0|0|3|0|0
Adam Frazier|12|10|3|0|2|1|0|3|1|0|0|2|1|0
David Fry|11|10|3|0|0|0|0|4|1|0|0|2|1|0
Ryan Mountcastle|8|8|3|0|0|0|0|2|0|0|0|3|0|0
Miguel Andujar|25|23|6|0|2|2|0|7|2|0|0|4|1|1
Matt Shaw|30|27|6|2|3|5|1|4|1|0|1|4|0|0
Rhys Hoskins|26|20|4|0|2|1|0|9|6|0|0|2|2|0
Daylen Lile|47|45|13|0|7|4|0|7|2|0|0|10|3|0
Curtis Mead|13|11|2|0|1|1|0|2|2|0|0|0|2|0
Derek Hill|10|6|1|0|1|0|1|4|4|0|0|1|0|0
Brett Sullivan|11|10|3|0|0|1|0|3|1|0|0|3|0|0
Willy Adames|46|42|9|1|3|3|0|13|4|0|0|4|4|0
Kyle Higashioka|13|11|3|0|2|1|0|3|2|0|0|3|0|0
Keibert Ruiz|19|18|4|1|3|5|0|2|0|0|1|2|1|0
Luis Matos|5|4|1|0|0|0|0|3|1|0|0|1|0|0
Ivan Herrera|45|35|7|0|2|6|0|6|8|1|1|4|3|0
Salvador Perez|41|38|7|2|4|2|0|5|3|0|0|3|2|0
Nick Castellanos|21|20|5|0|0|3|0|4|1|0|0|3|2|0
Danny Jansen|27|27|6|1|2|6|0|8|0|0|0|3|2|0
Carson Kelly|32|28|7|0|3|3|0|7|4|0|0|6|1|0
Tristan Peters|28|26|7|0|1|1|1|10|2|0|0|6|1|0
Jose Tena|18|17|5|0|4|3|0|4|1|0|0|5|0|0
Nathaniel Lowe|8|8|2|0|0|1|0|0|0|0|0|1|1|0
Luis Rengifo|30|28|6|0|4|2|0|5|2|0|0|2|4|0
Matt Vierling|17|16|3|1|1|3|0|4|0|0|1|1|1|0
Spencer Horwitz|32|26|6|0|2|2|0|7|5|0|1|5|1|0
Nolan Gorman|37|33|6|2|6|7|0|11|3|0|1|4|0|0
Brett Baty|33|33|8|0|6|4|1|10|0|0|0|5|2|1
Blaze Alexander|22|21|6|0|3|1|1|8|1|0|0|6|0|0
Matt McLain|45|37|8|0|4|1|1|13|7|1|0|7|1|0
Lawrence Butler|26|25|5|1|4|4|0|7|1|0|0|3|1|0
Pete Alonso|43|39|8|1|3|3|0|13|4|0|0|6|1|0
Thomas Saggese|24|20|4|0|2|0|0|6|4|0|0|3|1|0
Jarren Duran|35|30|6|0|5|4|2|10|4|1|0|4|2|0
Gabriel Moreno|32|30|7|0|4|2|0|5|2|0|0|5|2|0
Dane Myers|16|15|4|0|0|1|1|3|1|0|0|4|0|0
Ketel Marte|42|38|7|1|4|3|0|6|4|0|0|4|2|0
Geraldo Perdomo|38|33|6|1|2|3|1|2|3|0|1|3|2|0
Jake Mangum|26|24|6|0|3|1|0|5|1|0|0|5|1|0
Sam Haggerty|7|7|2|0|1|0|0|3|0|0|0|2|0|0
Leo Jimenez|7|7|2|0|0|0|0|0|0|0|0|2|0|0
Miguel Rojas|20|19|5|0|1|1|0|4|0|0|1|4|1|0
Brice Matthews|19|17|2|1|1|2|0|10|2|0|0|0|1|0
Vinnie Pasquantino|45|38|8|0|3|5|0|9|5|1|1|7|1|0
Freddy Fermin|23|21|4|0|4|1|0|7|2|0|0|2|2|0
Nick Kurtz|36|27|4|0|4|0|2|14|9|0|0|3|1|0
Michael Busch|42|34|6|0|6|2|0|6|7|0|1|4|2|0
Colton Cowser|25|20|4|0|4|1|0|6|3|0|1|3|1|0
Logan O'Hoppe|34|28|6|0|3|4|0|6|3|2|1|6|0|0
Kyle Karros|32|29|6|0|2|1|2|11|3|0|0|5|1|0
Andy Ibanez|10|9|2|0|1|2|0|2|1|0|0|2|0|0
Drew Millas|21|17|3|0|1|2|0|6|4|0|0|3|0|0
Jose Ramirez|46|41|6|1|2|5|2|6|5|0|0|3|2|0
Dylan Moore|2|1|0|0|1|0|0|1|1|0|0|0|0|0
Jeferson Quero|2|1|0|0|0|0|0|0|1|0|0|0|0|0
Brandon Valenzuela|4|4|1|0|0|0|0|2|0|0|0|1|0|0
Andrew Vaughn|4|4|1|0|0|1|0|0|0|0|0|1|0|0
Luis Campusano|10|10|2|0|1|1|0|5|0|0|0|1|1|0
Travis d'Arnaud|6|6|1|0|1|0|0|3|0|0|0|0|1|0
Bryce Johnson|9|8|1|0|0|1|0|5|1|0|0|0|1|0
Leo Rivas|39|34|5|0|2|3|0|14|5|0|0|4|0|1
Bryson Stott|34|32|6|0|1|2|2|6|2|0|0|5|1|0
Denzel Clarke|23|21|4|0|2|2|0|10|2|0|0|4|0|0
Edgar Quero|27|23|4|0|1|0|0|6|3|0|0|4|0|0
Konnor Griffin|16|13|1|0|1|1|0|4|2|1|0|0|1|0
Andruw Monasterio|8|8|1|0|0|1|0|2|0|0|0|0|1|0
Shay Whitcomb|3|2|0|0|0|0|0|2|1|0|0|0|0|0
Austin Wynns|6|6|1|0|0|0|0|0|0|0|0|1|0|0
Jonah Heim|10|7|0|0|1|0|0|2|3|0|0|0|0|0
Ryan Ritter|7|7|1|0|1|0|0|3|0|0|0|1|0|0
Eli White|12|11|1|0|1|0|0|2|1|0|0|1|0|0
Isiah Kiner-Falefa|5|4|0|0|1|0|0|2|1|0|0|0|0|0
Tanner Murray|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Mickey Moniak|14|14|4|2|3|2|0|4|0|0|0|2|0|0
Dylan Beavers|26|26|8|1|3|4|0|5|0|0|0|6|1|0
James Wood|50|43|7|3|8|9|0|17|7|0|0|1|3|0
Alec Burleson|45|37|8|1|4|7|1|4|7|0|1|5|2|0
Kerry Carpenter|37|31|6|2|3|6|0|15|5|0|1|4|0|0
Jake Bauers|37|34|7|2|7|6|2|9|3|0|0|4|1|0
C.J. Kayfus|21|18|3|1|3|2|0|6|2|1|0|1|1|0
Jake Fraley|26|23|5|0|1|0|0|3|3|0|0|2|3|0
Will Benson|22|21|5|0|0|1|0|6|1|0|0|3|1|1
Tyler Soderstrom|38|33|7|0|5|6|0|11|5|0|0|4|2|1
Jerar Encarnacion|14|14|4|0|1|0|0|3|0|0|0|3|1|0
Jo Adell|44|42|11|1|5|5|0|10|1|1|0|10|0|0
Eugenio Suarez|40|38|8|2|4|7|0|14|2|0|0|6|0|0
Tyler Stephenson|25|24|4|2|2|3|0|6|1|0|0|2|0|0
Jorge Soler|48|40|8|1|6|8|0|19|6|1|1|6|1|0
Brent Rooker|39|34|6|2|4|7|0|15|4|0|1|4|0|0
Gavin Sheets|27|26|6|0|4|2|1|7|1|0|0|3|3|0
Victor Caratini|30|26|7|0|1|4|0|2|2|1|1|7|0|0
Ben Williamson|36|34|9|0|8|3|1|8|2|0|0|8|1|0
George Springer|46|40|6|2|3|3|1|13|6|0|0|3|1|0
Jorge Polanco|37|32|6|0|2|1|0|5|5|0|0|3|3|0
Jared Triolo|26|23|5|0|2|1|0|5|2|1|0|4|1|0
Xander Bogaerts|42|39|9|0|0|3|0|3|3|0|0|7|2|0
Yainer Diaz|41|37|9|0|3|7|0|6|3|0|1|8|1|0
Willi Castro|40|36|7|0|6|4|0|13|4|0|0|4|3|0
Tyler O'Neill|27|24|4|1|5|4|0|6|2|1|0|3|0|0
Pavin Smith|8|6|1|0|1|1|0|2|2|0|0|1|0|0
Victor Robles|13|13|3|0|0|1|1|3|0|0|0|2|1|0
Tyrone Taylor|13|13|2|1|2|4|0|2|0|0|0|1|0|0
Kody Clemens|24|21|3|1|2|2|1|9|3|0|0|2|0|0
Michael Harris II|44|43|9|1|3|5|0|8|1|0|0|7|1|0
Daulton Varsho|36|32|6|0|3|1|0|5|4|0|0|4|2|0
Connor Norby|33|27|4|0|2|1|0|6|3|3|0|2|2|0
Starling Marte|10|10|2|0|1|0|0|5|0|0|0|1|1|0
Angel Martinez|27|21|3|0|3|0|1|5|3|2|0|2|1|0
Ryan Jeffers|28|24|4|0|4|0|0|8|4|0|0|3|1|0
Edouard Julien|17|16|3|0|1|2|0|7|1|0|0|2|1|0
Yoan Moncada|37|30|3|1|2|3|0|14|5|2|0|2|0|0
J.P. Crawford|14|11|1|0|1|0|0|5|3|0|0|0|1|0
Jake Cronenworth|39|35|6|0|4|1|0|8|4|0|0|5|1|0
Wyatt Langford|44|44|7|0|3|2|1|12|0|0|0|3|2|2
Austin Wells|28|24|4|0|2|0|0|9|4|0|0|4|0|0
Austin Riley|42|37|6|0|2|2|0|10|5|0|0|5|1|0
Tim Tawa|14|13|2|0|0|0|0|1|1|0|0|1|1|0
Jeff McNeil|26|23|4|0|2|1|1|8|3|0|0|4|0|0
Josh Lowe|33|29|3|1|2|3|1|13|2|1|0|1|1|0
Alek Thomas|30|29|4|0|2|4|2|8|1|0|0|1|3|0
Carson Benge|34|30|3|1|3|3|4|11|4|0|0|2|0|0
Mitch Garver|8|5|0|0|0|0|0|3|3|0|0|0|0|0
Bo Naylor|32|29|4|0|0|0|0|8|3|0|0|4|0|0
Joey Bart|9|8|1|0|1|0|0|3|1|0|0|1|0|0
James McCann|13|12|1|0|1|0|0|4|1|0|0|0|1|0
Edmundo Sosa|10|9|1|0|1|2|0|2|1|0|0|1|0|0
Austin Slater|17|15|2|0|1|1|1|7|1|0|1|2|0|0
Nathan Lukes|17|15|2|0|2|2|0|3|1|0|1|2|0|0
Amed Rosario|7|6|1|0|0|1|0|1|0|0|1|1|0|0
Jake Rogers|10|10|1|0|1|1|0|4|0|0|0|0|1|0
Ke'Bryan Hayes|28|26|3|0|1|0|0|1|2|0|0|3|0|0
Santiago Espinal|7|7|1|0|1|2|0|1|0|0|0|1|0|0
Bryce Teodosio|8|7|1|0|0|1|0|3|0|0|0|1|0|0
Addison Barger|23|19|1|0|1|2|0|6|3|0|1|0|1|0
Ty France|8|8|1|0|0|0|0|2|0|0|0|1|0|0
Darell Hernaiz|8|8|1|0|0|0|0|2|0|0|0|1|0|0
Ryan Vilade|9|8|0|0|0|0|0|5|1|0|0|0|0|0
Randal Grichuk|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Yohel Pozo|5|5|0|0|0|0|0|0|0|0|0|0|0|0
Jahmai Jones|6|6|0|0|0|0|0|2|0|0|0|0|0|0
J.C. Escarra|6|6|0|0|0|0|0|2|0|0|0|0|0|0
Dylan Carlson|4|4|0|0|1|0|0|2|0|0|0|0|0|0
Jose Fermin|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Tyler Tolbert|2|2|0|0|0|0|1|1|0|0|0|0|0|0
Ryan Bliss|2|2|0|0|0|0|0|2|0|0|0|0|0|0
Adrian Del Castillo|3|3|0|0|0|0|0|2|0|0|0|0|0|0
Bryce Harper|44|40|8|2|5|7|0|7|4|0|0|3|3|0
Nick Loftin|11|9|2|0|3|0|0|1|2|0|0|1|1|0
Isaac Collins|33|28|6|1|5|3|0|10|4|1|0|4|1|0
Hunter Goodman|43|41|10|1|6|3|0|17|2|0|0|8|1|0
Ceddanne Rafaela|30|29|7|1|4|3|0|7|0|1|0|6|0|0
Austin Hays|33|32|7|1|2|6|0|12|1|0|0|5|1|0
Spencer Steer|35|32|6|1|2|3|0|11|2|0|1|3|2|0
Rafael Devers|46|42|8|1|2|2|0|13|4|0|0|6|1|0
Alex Bregman|45|40|6|2|2|3|0|6|5|0|0|4|0|0
Spencer Torkelson|38|31|5|0|3|3|0|12|7|0|0|3|2|0
Alex Freeland|27|24|3|1|3|1|0|9|3|0|0|1|1|0
Joc Pederson|24|20|2|1|1|2|0|5|3|0|1|0|1|0
Jung Hoo Lee|43|37|6|0|3|4|0|8|5|0|1|3|3|0
Ronald Acuna Jr.|48|40|7|0|1|2|2|8|7|0|1|6|1|0
Jeremiah Jackson|25|24|6|0|0|4|0|6|0|0|1|6|0|0
Heliot Ramos|45|43|9|0|3|3|0|17|2|0|0|8|1|0
Dansby Swanson|39|32|4|1|4|5|0|14|6|0|1|3|0|0
Byron Buxton|38|34|5|0|4|1|0|10|2|1|1|2|2|1
Samuel Basallo|29|27|4|1|3|1|0|11|2|0|0|3|0|0
Blake Perkins|24|21|3|0|1|2|1|8|2|0|0|1|2|0
TJ Friedl|41|34|5|0|2|0|2|12|7|0|0|5|0|0
Brooks Lee|24|22|4|0|1|2|0|6|2|0|0|4|0|0
Javier Baez|22|20|4|0|1|3|1|6|1|0|1|4|0|0
Lane Thomas|20|17|2|0|1|1|0|5|3|0|0|1|1|0
Nolan Arenado|31|30|6|0|3|1|0|8|1|0|0|6|0|0
Heriberto Hernandez|31|27|3|0|2|4|0|6|4|0|0|2|0|1
Otto Kemp|8|7|1|0|0|0|0|4|0|1|0|1|0|0
Julio Rodriguez|48|42|6|0|4|2|0|14|5|1|0|6|0|0
Michael Conforto|11|9|1|0|0|0|0|5|2|0|0|1|0|0
Moises Ballesteros|22|20|3|0|1|2|0|8|2|0|0|3|0|0
Carson Williams|25|23|3|0|4|3|0|9|1|0|0|2|1|0
Jose Caballero|34|31|4|0|3|1|3|10|2|1|0|4|0|0
Patrick Bailey|34|31|4|0|3|1|1|6|3|0|0|4|0|0
Noelvi Marte|14|12|1|0|1|0|0|6|2|0|0|1|0|0
Lenyn Sosa|18|18|2|0|1|2|0|4|0|0|0|1|1|0
