name|pa|ab|h|hr|r|rbi|sb|so|bb|hbp|sf|x1b|x2b|x3b
Dansby Swanson|19|14|2|0|2|2|0|4|5|0|0|2|0|0
Dylan Moore|1|0|0|0|0|0|0|0|1|0|0|0|0|0
Dalton Rushing|2|2|1|0|0|0|0|0|0|0|0|1|0|0
Travis d'Arnaud|3|3|1|0|1|0|0|2|0|0|0|0|1|0
Jorge Barrosa|3|3|1|0|1|0|0|2|0|0|0|0|1|0
Andres Chaparro|7|6|2|0|1|0|0|2|1|0|0|1|1|0
Oneil Cruz|19|18|5|2|5|3|0|9|1|0|0|3|0|0
Carlos Cortes|5|4|1|0|0|0|0|1|1|0|0|0|1|0
Ramon Urias|9|9|2|1|1|1|0|4|0|0|0|0|1|0
Dane Myers|7|7|3|0|0|1|0|1|0|0|0|3|0|0
Jorbit Vivas|10|8|3|0|2|1|0|1|1|0|1|3|0|0
Nick Loftin|4|4|1|0|2|0|0|0|0|0|0|0|1|0
Kyle Schwarber|22|19|3|2|2|3|0|9|2|1|0|1|0|0
James McCann|6|5|1|0|1|0|0|3|1|0|0|0|1|0
Blake Perkins|6|5|1|0|1|0|0|0|1|0|0|0|1|0
Byron Buxton|17|16|4|0|2|0|0|5|1|0|0|2|1|1
Blaze Alexander|11|11|4|0|1|1|0|5|0|0|0|4|0|0
Jacob Young|11|11|2|1|1|2|0|2|0|0|0|0|1|0
Justin Crawford|13|12|4|0|3|0|0|3|1|0|0|4|0|0
David Fry|7|7|2|0|0|0|0|4|0|0|0|1|1|0
Nick Gonzales|23|22|7|0|3|3|1|5|1|0|0|6|1|0
Colson Montgomery|20|18|4|1|1|5|0|8|2|0|0|3|0|0
Jung Hoo Lee|20|18|4|0|2|3|0|3|2|0|0|1|3|0
Ketel Marte|22|19|4|1|3|2|0|3|3|0|0|3|0|0
Michael Harris II|19|19|5|1|2|3|0|3|0|0|0|4|0|0
Otto Lopez|20|18|5|0|2|1|1|3|1|1|0|4|1|0
Marcelo Mayer|16|14|3|0|3|0|0|5|2|0|0|1|2|0
Jorge Soler|28|23|4|1|4|5|0|12|5|0|0|2|1|0
Matt Olson|20|19|5|0|2|1|0|7|1|0|0|3|2|0
Jorge Polanco|20|15|3|0|2|1|0|2|5|0|0|2|1|0
Luis Torrens|6|6|2|0|0|1|0|2|0|0|0|2|0|0
Mark Vientos|3|3|1|0|0|0|0|0|0|0|0|1|0|0
Tim Tawa|3|3|1|0|0|0|0|1|0|0|0|1|0|0
Andy Ibanez|8|7|2|0|1|2|0|2|1|0|0|2|0|0
Matt Wallner|17|14|2|1|2|1|0|5|3|0|0|1|0|0
Hunter Feduccia|5|4|1|0|1|0|0|3|1|0|0|1|0|0
Rafael Devers|21|19|5|0|1|0|0|4|2|0|0|4|1|0
Josh Bell|16|12|2|0|2|1|0|6|2|1|1|0|2|0
Yoan Moncada|23|17|2|1|2|2|0|5|5|1|0|1|0|0
Aaron Judge|21|20|3|2|2|3|0|10|1|0|0|1|0|0
Connor Norby|16|12|2|0|0|0|0|3|1|3|0|1|1|0
Ben Williamson|16|16|5|0|4|1|0|3|0|0|0|5|0|0
Keibert Ruiz|12|11|2|1|2|3|0|2|0|0|1|1|0|0
Carson Benge|19|17|3|1|3|1|2|6|2|0|0|2|0|0
Carson Kelly|14|12|3|0|0|3|0|2|2|0|0|3|0|0
Jake Meyers|17|16|4|0|3|2|1|4|1|0|0|3|1|0
Mookie Betts|21|19|3|1|4|5|0|4|1|1|0|1|1|0
Victor Caratini|12|11|3|0|1|0|0|1|1|0|0|3|0|0
Brett Baty|20|20|5|0|3|3|1|6|0|0|0|4|0|1
Paul Goldschmidt|5|5|1|0|1|0|0|0|0|0|0|0|1|0
Jeimer Candelario|5|5|1|0|1|0|0|2|0|0|0|0|1|0
Brayan Rocchio|22|17|3|0|3|3|0|3|3|2|0|2|1|0
Angel Martinez|15|13|3|0|1|0|1|5|0|1|0|2|1|0
Jake Mangum|15|13|3|0|1|0|0|3|1|0|0|2|1|0
Kyle Higashioka|9|8|2|0|2|1|0|2|1|0|0|2|0|0
Nathan Lukes|9|8|2|0|2|1|0|2|1|0|0|2|0|0
Henry Davis|13|11|2|0|0|2|0|3|2|0|0|1|1|0
Jac Caglianone|11|10|2|0|0|0|0|4|1|0|0|1|1|0
Kyle Karros|18|17|4|0|1|0|2|5|1|0|0|3|1|0
Daniel Schneemann|14|14|3|0|1|2|0|4|0|0|0|1|2|0
Salvador Perez|16|16|3|1|1|1|0|2|0|0|0|2|0|0
Jared Young|9|9|2|0|1|1|0|2|0|0|0|1|1|0
Logan O'Hoppe|19|17|4|0|1|2|0|5|1|1|0|4|0|0
Alejandro Kirk|14|12|1|1|2|1|0|2|2|0|0|0|0|0
Joey Bart|6|5|1|0|1|0|0|2|1|0|0|1|0|0
Casey Schmitt|18|16|3|0|0|1|1|5|0|2|0|2|1|0
Austin Riley|20|18|4|0|1|0|0|4|2|0|0|4|0|0
CJ Abrams|18|17|4|0|2|3|0|3|0|1|0|4|0|0
Jakob Marsee|21|19|3|0|2|2|1|6|1|0|1|1|1|1
Mitch Garver|4|2|0|0|0|0|0|0|2|0|0|0|0|0
Derek Hill|2|1|0|0|0|0|0|1|1|0|0|0|0|0
Curtis Mead|2|1|0|0|0|0|0|0|1|0|0|0|0|0
Jeferson Quero|2|1|0|0|0|0|0|0|1|0|0|0|0|0
Masataka Yoshida|10|5|0|0|0|0|0|1|5|0|0|0|0|0
Sam Haggerty|4|4|1|0|1|0|0|2|0|0|0|1|0|0
Andrew Vaughn|4|4|1|0|0|1|0|0|0|0|0|1|0|0
Jake Rogers|6|6|1|0|1|1|0|2|0|0|0|0|1|0
Andruw Monasterio|6|6|1|0|0|0|0|2|0|0|0|0|1|0
Riley Greene|23|21|4|0|4|4|0|4|2|0|0|3|1|0
Coby Mayo|15|13|2|0|1|1|1|4|2|0|0|1|1|0
Freddie Freeman|21|20|4|0|1|2|0|1|1|0|0|3|1|0
Drew Millas|9|7|1|0|0|1|0|2|2|0|0|1|0|0
Jacob Wilson|21|21|4|0|1|2|0|5|0|0|0|2|2|0
Vinnie Pasquantino|16|13|2|0|0|2|0|2|2|1|0|2|0|0
Luisangel Acuna|14|12|2|0|3|0|2|1|1|1|0|2|0|0
Cal Raleigh|24|21|3|0|0|2|1|13|3|0|0|2|1|0
Willson Contreras|22|17|2|0|1|0|0|5|4|1|0|2|0|0
Ryan Jeffers|12|11|2|0|0|0|0|3|1|0|0|2|0|0
Carson Williams|21|19|3|0|4|3|0|6|1|0|0|2|1|0
Ryan Mountcastle|5|5|1|0|0|0|0|1|0|0|0|1|0|0
Denzel Clarke|13|12|2|0|1|1|0|7|1|0|0|2|0|0
Jose Trevino|8|7|1|0|0|0|0|2|1|0|0|1|0|0
Jonah Heim|8|5|0|0|1|0|0|2|3|0|0|0|0|0
J.T. Realmuto|15|12|1|0|1|0|0|5|2|1|0|1|0|0
James Outman|3|2|0|0|0|0|0|0|1|0|0|0|0|0
Adam Frazier|4|3|0|0|1|0|0|1|1|0|0|0|0|0
Brett Sullivan|4|3|0|0|0|0|0|0|1|0|0|0|0|0
Thomas Saggese|4|3|0|0|1|0|0|1|1|0|0|0|0|0
Kyle Farmer|1|1|0|0|0|0|0|0|0|0|0|0|0|0
Austin Wynns|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Isiah Kiner-Falefa|2|2|0|0|0|0|0|1|0|0|0|0|0|0
Jorge Mateo|3|3|0|0|1|0|0|1|0|0|0|0|0|0
Ty France|3|3|0|0|0|0|0|2|0|0|0|0|0|0
Jahmai Jones|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Leody Taveras|1|1|0|0|0|0|0|1|0|0|0|0|0|0
Nathaniel Lowe|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Bryce Johnson|1|1|0|0|0|0|0|1|0|0|0|0|0|0
Nick Allen|2|2|0|0|1|0|0|1|0|0|0|0|0|0
Tyler Tolbert|1|1|0|0|0|0|0|1|0|0|0|0|0|0
Darell Hernaiz|3|3|0|0|0|0|0|2|0|0|0|0|0|0
Bryce Teodosio|1|1|0|0|0|0|0|0|0|0|0|0|0|0
Will Benson|10|9|2|0|0|1|0|4|1|0|0|1|0|1
Jake Fraley|10|10|3|0|0|0|0|2|0|0|0|2|1|0
Tyler O'Neill|17|14|2|1|4|3|0|4|2|1|0|1|0|0
Isaac Collins|10|9|1|1|1|1|0|3|1|0|0|0|0|0
Gunnar Henderson|23|21|4|1|2|4|1|8|1|1|0|2|1|0
Andrew Benintendi|12|11|3|0|0|1|0|6|1|0|0|3|0|0
James Wood|25|22|3|1|3|3|0|11|3|0|0|0|2|0
Jo Adell|25|23|6|0|2|1|0|5|1|1|0|6|0|0
Eugenio Suarez|22|21|4|1|2|4|0|9|1|0|0|3|0|0
Jose Tena|11|11|3|0|2|2|0|4|0|0|0|3|0|0
Pavin Smith|8|6|1|0|1|1|0|2|2|0|0|1|0|0
Bryan Reynolds|23|22|4|1|3|2|0|9|1|0|0|3|0|0
Josh Smith|18|15|3|0|0|1|1|4|3|0|0|3|0|0
Brenton Doyle|18|16|3|0|2|0|1|3|2|0|0|2|1|0
Harrison Bader|19|19|3|1|2|1|0|6|0|0|0|1|1|0
Austin Hays|19|19|3|1|1|3|0|9|0|0|0|1|1|0
Carter Jensen|13|11|1|1|1|2|0|5|1|0|1|0|0|0
Alek Thomas|20|19|3|0|2|4|2|6|1|0|0|0|3|0
Jeremiah Jackson|12|12|3|0|0|1|0|6|0|0|0|3|0|0
Victor Robles|10|10|2|0|0|1|1|3|0|0|0|1|1|0
Trevor Story|24|24|4|1|1|2|0|10|0|0|0|2|1|0
Jordan Beck|15|13|2|0|1|4|1|2|2|0|0|1|1|0
Ronald Acuna Jr.|22|18|3|0|1|1|1|6|3|0|1|2|1|0
Ivan Herrera|22|19|3|0|0|4|0|2|2|0|1|1|2|0
Tyler Soderstrom|21|20|4|0|0|1|0|7|1|0|0|3|1|0
Jose Caballero|19|18|4|0|1|1|1|5|1|0|0|4|0|0
Roman Anthony|24|21|4|0|1|1|0|11|3|0|0|4|0|0
Nick Castellanos|13|12|2|0|0|0|0|3|1|0|0|1|1|0
Moises Ballesteros|18|16|3|0|1|2|0|6|2|0|0|3|0|0
Willi Castro|20|19|3|0|4|2|0|5|1|0|0|1|2|0
Josh Lowe|23|21|2|1|1|3|0|10|2|0|0|0|1|0
Otto Kemp|7|6|1|0|0|0|0|3|0|1|0|1|0|0
Luis Arraez|21|19|4|0|0|1|1|2|1|0|1|4|0|0
Trea Turner|23|22|4|0|3|0|0|5|1|0|0|3|1|0
Teoscar Hernandez|18|18|4|0|1|1|0|6|0|0|0|4|0|0
Marcus Semien|20|16|2|0|0|2|0|6|2|1|1|1|1|0
Javier Baez|12|11|2|0|1|1|0|4|1|0|0|2|0|0
Luis Rengifo|15|13|2|0|1|2|0|1|2|0|0|2|0|0
Masyn Winn|22|21|3|0|2|0|0|4|1|0|0|1|2|0
Jake Cronenworth|20|18|3|0|3|0|0|5|2|0|0|3|0|0
Daulton Varsho|20|18|3|0|2|1|0|3|2|0|0|3|0|0
Jeremy Pena|15|15|3|0|2|0|1|3|0|0|0|3|0|0
Nick Yorke|11|8|1|0|0|1|0|2|2|0|1|1|0|0
Miguel Andujar|13|12|2|0|0|2|0|3|1|0|0|2|0|0
Samuel Basallo|16|14|2|0|2|0|0|5|2|0|0|2|0|0
Luke Keaschall|17|14|2|0|0|1|0|1|2|0|1|2|0|0
Heriberto Hernandez|14|11|1|0|1|1|0|2|3|0|0|1|0|0
Nathan Church|16|16|3|0|2|2|0|6|0|0|0|3|0|0
Edouard Julien|8|8|1|0|0|0|0|4|0|0|0|0|1|0
Austin Wells|14|13|2|0|1|0|0|5|1|0|0|2|0|0
Jazz Chisholm Jr.|20|19|3|0|1|1|2|7|0|1|0|3|0|0
Yainer Diaz|21|19|3|0|1|3|0|5|1|0|1|3|0|0
Patrick Bailey|18|16|2|0|1|1|0|4|2|0|0|2|0|0
Ryan Ritter|6|6|1|0|1|0|0|2|0|0|0|1|0|0
Julio Rodriguez|26|22|2|0|2|1|0|8|4|0|0|2|0|0
Kody Clemens|10|9|1|0|0|1|1|4|1|0|0|1|0|0
Ke'Bryan Hayes|14|12|1|0|1|0|0|0|2|0|0|1|0|0
Jonathan India|11|10|1|0|1|0|0|3|1|0|0|1|0|0
Freddy Fermin|11|10|1|0|1|0|0|3|1|0|0|1|0|0
Jeff McNeil|12|11|1|0|1|0|1|4|1|0|0|1|0|0
Lawrence Butler|12|11|1|0|1|0|0|2|1|0|0|1|0|0
Zach McKinstry|8|8|1|0|0|0|0|3|0|0|0|1|0|0
Graham Pauley|10|9|1|0|0|1|0|5|0|0|0|1|0|0
Brooks Lee|9|9|1|0|0|0|0|4|0|0|0|1|0|0
Noelvi Marte|10|8|0|0|1|0|0|5|2|0|0|0|0|0
Michael Conforto|7|6|0|0|0|0|0|5|1|0|0|0|0|0
Edmundo Sosa|7|6|0|0|1|0|0|2|1|0|0|0|0|0
Ryan Vilade|7|6|0|0|0|0|0|3|1|0|0|0|0|0
Addison Barger|15|12|0|0|0|2|0|5|2|0|1|0|0|0
Starling Marte|3|3|0|0|0|0|0|1|0|0|0|0|0|0
Randal Grichuk|2|2|0|0|0|0|0|0|0|0|0|0|0|0
Amed Rosario|4|3|0|0|0|1|0|1|0|0|1|0|0|0
Reese McGuire|4|4|0|0|0|0|0|3|0|0|0|0|0|0
Austin Slater|7|6|0|0|0|1|0|3|0|0|1|0|0|0
Santiago Espinal|2|2|0|0|0|0|0|1|0|0|0|0|0|0
J.C. Escarra|4|4|0|0|0|0|0|1|0|0|0|0|0|0
Matt Vierling|5|5|0|0|0|0|0|2|0|0|0|0|0|0
Luis Campusano|5|5|0|0|0|0|0|3|0|0|0|0|0|0
Ryan Bliss|2|2|0|0|0|0|0|2|0|0|0|0|0|0
Luis Garcia Jr.|18|18|4|0|2|3|0|1|0|0|0|3|1|0
Xander Bogaerts|20|20|4|0|0|2|0|1|0|0|0|3|1|0
Wyatt Langford|24|24|4|0|2|1|0|6|0|0|0|3|0|1
Jared Triolo|19|17|2|0|1|0|0|3|1|1|0|1|1|0
Brent Rooker|21|21|4|0|0|1|0|11|0|0|0|4|0|0
Jose Ramirez|26|25|3|0|1|3|2|5|1|0|0|1|2|0
Matt Shaw|12|11|2|0|1|1|1|1|0|0|1|2|0|0
Kerry Carpenter|22|19|2|0|1|1|0|11|3|0|0|2|0|0
Kyle Manzardo|23|20|2|0|1|1|0|10|2|1|0|2|0|0
TJ Friedl|23|20|2|0|2|0|1|8|3|0|0|2|0|0
