name|stuff_plus|location_plus|pitching_plus
Jordan Romano|103|101|105
José Ruiz|98|106|105
Joel Payamps|103|102|105
Jonathan Bowlan|103|102|105
Chris Paddack|92|112|105
Max Scherzer|96|108|105
Gregory Soto|116|92|105
Carmen Mlodzinski|104|100|105
Enyel De Los Santos|93|111|104
Justin Topa|98|111|104
Nathan Eovaldi|97|106|104
Lucas Erceg|102|102|104
Mason Englert|98|107|104
Paul Blackburn|97|106|104
José Fermin|102|101|104
Bennett Sousa|107|99|104
Tylor Megill|108|97|104
Bryan King|97|110|104
Hunter Bigge|97|105|104
Troy Melton|107|97|104
Brendon Little|117|82|104
Camilo Doval|104|99|104
Rico Garcia|104|101|104
Hayden Wesneski|95|110|104
Michael McGreevy|90|110|104
Génesis Cabrera|104|100|104
Scott Alexander|98|103|104
Nick Pivetta|98|109|104
Clarke Schmidt|101|103|104
Luis Morales|103|100|104
Cade Cavalli|108|94|104
Grant Anderson|104|103|104
Ryan Zeferjahn|121|84|104
Hunter Dobbins|98|105|104
Eduard Bazardo|104|104|104
Porter Hodge|107|94|103
Casey Mize|96|107|103
Brandyn Garcia|116|87|103
Luinder Avila|104|100|103
Hunter Brown|107|95|103
Jordan Hicks|110|96|103
Mick Abel|109|96|103
Yusei Kikuchi|95|106|103
Kyle Harrison|97|112|103
Jackson Jobe|109|96|103
Chase Lee|99|108|103
Easton McGee|100|108|103
Brent Suter|104|99|103
Ryan Johnson|103|103|103
Cam Booser|109|98|103
Bryan Abreu|110|90|103
Robert Stephenson|112|97|103
Will Warren|100|100|103
Huascar Brazobán|104|97|103
Pierce Johnson|100|105|102
Nick Mears|100|104|102
Roddery Muñoz|104|96|102
Gunnar Hoglund|93|106|102
Tyler Mahle|91|111|102
Jared Koenig|105|100|102
Kevin Gausman|100|103|102
Collin Snider|101|108|102
Chad Green|100|101|102
Tomoyuki Sugano|92|106|102
Andrés Muñoz|120|87|102
AJ Blubaugh|105|97|102
Danny Coulombe|107|99|102
Austin Cox|98|103|102
Kody Funderburk|106|94|102
Landen Roupp|97|106|102
Brandon Walter|97|108|102
Julian Merryweather|103|98|102
Will Klein|102|96|102
Justin Wilson|105|97|102
Anthony Veneziano|100|102|102
Mitch Spence|101|100|102
Steven Cruz|119|83|102
Michael King|99|102|102
Ron Marinaccio|104|104|102
Wandy Peralta|99|102|102
Daysbel Hernández|107|92|102
Jayden Murray|104|103|101
Luke Jackson|93|104|101
Shane Bieber|92|106|101
Brandon Pfaadt|97|104|101
Jakob Junis|94|107|101
Jorge Alcala|107|94|101
Sonny Gray|96|102|101
Robert Garcia|103|101|101
Cole Sulser|97|104|101
Zach Maxwell|111|87|101
Shota Imanaga|94|108|101
Ryan Walker|109|97|101
Jameson Taillon|94|109|101
Colin Holderman|115|89|101
Spencer Bivens|99|104|101
Jacob Webb|95|105|101
Chad Patrick|105|98|101
Brandon Woodruff|96|107|101
Taylor Clarke|97|103|101
Sam Bachman|101|98|101
Gordon Graceffo|93|107|101
Hunter Harvey|99|104|101
Didier Fuentes|110|94|101
Seth Johnson|101|102|101
Tyler Alexander|100|104|101
Tanner Bibee|102|99|101
Zac Gallen|93|105|101
David Festa|91|105|101
Cole Sands|97|105|101
Kade Strowd|113|89|100
Daniel Robert|111|94|100
Tanner Houck|97|102|100
José Buttó|100|97|100
Luis Castillo|96|106|100
Raisel Iglesias|97|104|100
Jack Flaherty|98|102|100
Grant Wolfram|108|94|100
Logan Henderson|93|110|100
Chris Devenski|96|100|100
Bryce Elder|90|108|100
Yaramil Hiraldo|102|94|100
Yuki Matsui|103|96|100
Nick Lodolo|102|101|100
Ryan Gusto|100|100|100
Brandon Waddell|98|99|100
Eric Orze|101|94|100
Matt Brash|112|85|100
Kris Bubic|93|103|100
Carlos Rodón|104|96|100
Edwin Uceta|96|105|100
Jack Leiter|107|91|100
Trevor Williams|95|104|100
Jeff Hoffman|107|92|100
Greg Weissert|98|102|99
Michael Kelly|107|95|99
Jason Adam|104|94|99
Seranthony Domínguez|114|84|99
Casey Lawrence|88|111|99
Adrian Houser|93|106|99
Michael Wacha|98|102|99
Rob Zastryzny|103|97|99
Gavin Williams|103|95|99
Andrew Abbott|97|104|99
Nick Martinez|91|108|99
Trey Yesavage|106|93|99
Andrew Alvarez|87|106|99
Lake Bachar|101|97|99
Jake Woodford|102|99|99
Craig Kimbrel|106|90|99
Stephen Kolek|96|101|99
Yerry De los Santos|96|101|99
Sawyer Gipson-Long|96|103|99
Sean Manaea|103|101|99
Yu Darvish|99|98|99
Sean Burke|92|102|99
Noah Cameron|94|101|99
Trent Thornton|99|101|99
Colton Gordon|95|107|99
Hunter Gaddis|95|103|99
Yennier Cano|103|96|98
Mike Burrows|95|101|98
Luke Weaver|97|99|98
Jordan Leasure|99|96|98
Kyle Backhus|105|97|98
Ian Gibaut|88|108|98
Jonathan Cannon|97|100|98
Seth Halvorsen|110|88|98
Shawn Armstrong|105|95|98
Zach Eflin|93|106|98
Ryan Bergert|91|104|98
Bryce Miller|102|96|98
Brayan Bello|96|101|98
Aaron Bummer|111|92|98
Patrick Corbin|96|101|98
Brandon Young|92|104|98
Justin Verlander|106|93|98
Spencer Arrighetti|104|94|98
Caleb Boushley|89|108|98
Orlando Ribalta|104|93|98
Trevor Rogers|92|105|98
Keaton Winn|97|99|98
Matt Strahm|108|94|98
Justin Lawrence|107|96|98
Matt Bowman|109|91|98
Taylor Rogers|104|100|98
Carson Seymour|105|92|98
Beau Brieske|94|99|98
Alan Rangel|96|102|98
Connor Phillips|117|83|97
Cade Horton|96|101|97
Hunter Stratton|102|97|97
Angel Chivilli|95|101|97
Justin Sterner|109|92|97
Quinn Priester|98|100|97
Andre Pallante|94|101|97
George Soriano|99|95|97
Ryan Brasier|96|102|97
Merrill Kelly|90|105|97
Dustin May|101|96|97
Dylan Dodd|100|102|97
Shaun Anderson|85|105|97
Carlos Estévez|99|99|97
Keegan Akin|103|97|97
Reese Olson|95|101|97
Hogan Harris|96|104|97
MacKenzie Gore|98|98|97
Tobias Myers|94|102|97
Matthew Boyd|94|107|97
Justin Steele|101|100|97
Bailey Ober|94|102|97
Ben Brown|99|98|97
Josh Simpson|107|92|97
Joe Ross|93|104|97
John Curtiss|96|103|97
Randy Vásquez|97|101|97
Kyle Hart|100|97|97
Kyle Freeland|95|103|97
Erik Miller|108|87|97
Nick Sandlin|102|97|97
Jack Dreyer|99|97|97
Logan VanWey|98|99|97
Penn Murfee|105|89|96
Brent Headrick|107|95|96
Joe Boyle|109|85|96
Luis Mey|111|84|96
Andre Granillo|100|97|96
Yohan Ramírez|104|92|96
Luis Gil|100|93|96
Keider Montero|96|101|96
Jonah Tong|101|91|96
David Peterson|90|102|96
Erick Fedde|91|103|96
Chase Shugart|102|94|96
Mason Barnett|97|100|96
Anthony Banda|102|93|96
Yariel Rodríguez|101|92|96
Max Lazar|89|105|96
Brad Keller|106|91|96
Joey Lucchesi|101|97|96
Ryan Borucki|107|89|96
Jake Irvin|94|103|96
Tristan Beck|94|100|96
Ryan Yarbrough|100|100|96
Sammy Peralta|99|101|96
JP Sears|94|105|96
Nate Pearson|104|89|96
Colin Selby|95|97|96
José Suarez|99|92|96
Johan Oviedo|102|91|96
Scott Blewett|83|107|96
Elvis Alvarado|104|87|96
Erasmo Ramírez|89|109|96
Dean Kremer|95|101|96
Colin Rea|95|101|96
Matthew Liberatore|96|99|96
Héctor Neris|95|97|95
Luis Curvelo|104|94|95
Cade Povich|97|99|95
Chris Bassitt|96|101|95
Jared Shuster|89|105|95
Jack Perkins|105|90|95
Cole Henry|107|91|95
Hunter Strickland|95|100|95
Shane Smith|95|98|95
Luis Ortiz|100|96|95
Adam Mazur|98|98|95
Corbin Martin|99|93|95
Clayton Beeter|107|86|95
Landon Knack|94|101|95
Cade Gibson|100|92|95
Matt Festa|100|95|95
Nestor Cortes|100|94|95
Luis Guerrero|105|88|95
Logan Evans|95|101|95
Kyle Nicolas|106|87|95
John King|104|94|95
Dennis Santana|97|99|95
AJ Smith-Shawver|98|95|95
Juan Mejia|101|96|94
Mike Vasil|98|95|94
Kumar Rocker|98|98|94
Kyle Gibson|89|96|94
Lou Trivino|102|92|94
Bowden Francis|94|98|94
Tyler Glasnow|98|91|94
Alek Jacob|110|88|94
Tyler Wells|96|104|94
Slade Cecconi|93|104|94
Mitch Keller|95|99|94
Cole Winn|107|85|94
David Morgan|115|84|94
Davis Martin|97|96|94
Brady Singer|95|100|94
Bailey Falter|96|97|94
Tony Santillan|97|100|94
Grant Holman|92|96|94
Matt Gage|98|96|94
Mitchell Parker|91|103|94
Michael Lorenzen|92|101|94
Charlie Morton|100|93|94
Jackson Kowar|96|100|94
Kodai Senga|94|95|94
Bryse Wilson|97|94|94
Elvin Rodríguez|94|96|93
Bradley Blalock|93|97|93
Mark Leiter Jr.|88|100|93
Taijuan Walker|90|100|93
Andrew Heaney|93|103|93
Robbie Ray|97|95|93
Ian Seymour|94|99|93
Sean Newcomb|101|96|93
Chris Murphy|99|93|93
Chase Silseth|102|93|93
Sean Guenther|92|98|93
Matt Sauer|103|92|93
Ronel Blanco|88|103|93
Jaden Hill|95|99|93
Lance McCullers Jr.|102|90|93
Jeffrey Springs|94|98|93
Javier Assad|94|97|93
Joey Wentz|88|105|93
Jacob Lopez|93|101|93
Brandon Sproat|112|85|93
Chase Dollander|102|92|93
Osvaldo Bido|99|94|93
Miles Mikolas|89|107|93
José Berríos|89|102|93
Zack Littell|85|104|93
Taj Bradley|102|90|93
Kevin Ginkel|90|102|93
Forrest Whitley|107|85|93
Kaleb Ort|106|86|92
Andrew Hoffmann|92|98|92
Joey Cantillo|89|104|92
Grant Holmes|91|99|92
Isaac Mattson|96|97|92
Griffin Canning|92|98|92
Brandon Eisert|79|109|92
Nabil Crismatt|78|109|92
Thomas Hatch|92|95|92
Chris Roycroft|102|94|92
Shinnosuke Ogasawara|90|99|92
Sam Moll|98|94|92
Ryan Pressly|94|95|92
Clayton Kershaw|96|92|92
Andrew Chafin|95|97|92
Mason Thompson|98|92|92
T.J. McFarland|86|106|92
Jason Alexander|88|102|92
José Ureña|87|101|91
Jorge López|99|95|91
Ryan Rolison|91|99|91
Walker Buehler|97|92|91
Marcus Stroman|90|99|91
Ryan Fernandez|99|90|91
Fernando Cruz|103|85|91
Kyle Hendricks|83|108|91
Lucas Giolito|92|98|91
Jose Quintana|85|104|91
Eduardo Rodriguez|91|99|91
Carson Fulmer|86|101|91
Tyler Gilbert|101|101|91
Erik Sabrowski|108|85|91
Cristian Javier|95|95|91
Jimmy Herget|93|98|91
Josh Winckowski|102|92|91
Tommy Kahnle|91|95|91
Eric Lauer|92|103|91
Tyler Anderson|97|96|91
Taylor Rashi|75|110|91
Cionel Pérez|106|85|91
Antonio Senzatela|85|104|90
DL Hall|94|91|90
Paxton Schultz|94|96|90
Travis Adams|99|92|90
Anthony Molina|88|100|90
JT Brubaker|94|98|90
Ryan Loutos|82|102|90
Brant Hurter|113|81|90
Kirby Yates|94|96|90
Logan Allen|92|97|90
Spencer Strider|96|93|90
Sean Reynolds|100|89|90
Michael Soroka|95|97|90
Valente Bellozo|94|96|90
Fraser Ellard|102|88|90
Tyler Ferguson|109|83|90
Sam Long|94|96|90
Eduardo Salazar|94|95|90
Tayler Saucedo|101|87|90
Noah Murdock|109|87|89
Richard Lovelady|99|95|89
Dane Dunning|86|100|89
Justin Martinez|111|75|89
Hayden Birdsong|99|86|89
Shawn Dubin|98|92|89
John Brebbia|93|99|89
PJ Poulin|101|90|89
Nick Anderson|87|107|89
Scott Barlow|102|87|89
Jackson Rutledge|103|87|89
Zach Agnos|91|93|89
Cal Quantrill|88|100|89
Easton Lucas|102|87|88
Seth Lugo|94|94|88
Daniel Lynch IV|95|89|88
Tayler Scott|91|99|88
Roansy Contreras|94|98|88
Lyon Richardson|94|93|88
Andrew Saalfrank|86|99|88
Brady Basso|90|99|88
Tanner Gordon|84|105|88
Tony Gonsolin|95|94|88
Aaron Civale|98|89|88
Yoendrys Gómez|99|89|88
Carlos Carrasco|81|101|88
Nic Enright|94|96|88
Scott McGough|88|98|88
Simeon Woods Richardson|88|98|88
Jalen Beeks|95|91|87
Luarbert Arias|103|87|87
Brad Lord|86|102|87
Kevin Herget|88|98|87
Michael Kopech|118|72|87
Carson Spiers|95|89|87
Jon Gray|89|96|87
Dan Altavilla|98|86|87
Roki Sasaki|91|92|86
Alexis Díaz|95|90|86
Joey Estes|86|94|86
Brooks Kriske|96|87|86
Victor Mederos|101|83|86
Liam Hendriks|93|89|86
Martín Pérez|81|101|86
Dauri Moreta|99|88|86
Austin Gomber|87|100|86
Ian Hamilton|98|89|86
Kolby Allard|86|102|86
Connor Seabold|95|92|86
Emerson Hancock|89|99|86
Connor Gillispie|92|94|86
Juan Burgos|106|81|86
Jack Kochanowicz|93|90|86
Germán Márquez|88|95|85
Ryan Feltner|88|96|85
McCade Brown|95|89|85
Kai-Wei Teng|94|92|85
Davis Daniel|81|95|85
Luis Contreras|89|88|85
Carson Palmquist|97|87|85
Bryce Jarvis|86|97|85
Caden Dana|92|90|85
Chris Flexen|82|102|84
Michael Tonkin|91|95|84
Brennan Bernardino|100|87|84
Chris Stratton|89|91|84
Sean Hjelle|94|89|83
Tim Herrin|99|86|83
Eduarniel Núñez|110|72|83
Zach Brzykcy|92|89|83
Ben Lively|83|104|83
Jake Eder|85|97|83
Sauryn Lao|87|95|82
Konnor Pilkington|96|84|82
Kendall Graveman|93|87|82
Dugan Darnell|83|97|82
Albert Suárez|89|91|82
Carson Whisenhunt|91|89|82
Wade Miley|95|86|82
Dylan Smith|94|84|82
Wikelman González|95|87|82
Luis Peralta|98|87|81
Sam Aldegheri|90|88|80
Lucas Sims|111|66|79
Evan Sisk|106|74|79
Andry Lara|85|91|78
Garrett McDaniels|97|79|78
Bryan Hudson|93|82|76
Mitch Farris|88|89|76
Noah Davis|94|83|75
Zak Kent|92|82|75
Nick Hernandez|89|70|66
