name|barrel_pct|hard_hit_pct|woba|xwoba
Kyle Higashioka|8.6|39.1|.301|.295
Victor Robles|4.9|23.2|.268|.237
Jared Triolo|6.2|38.2|.296|.310
Tommy Edman|4.5|39.9|.284|.321
Teoscar Hernández|11.5|46.1|.315|.323
Eugenio Suárez|14.3|47.6|.347|.320
Jake Meyers|5.0|38.9|.323|.325
Michael A. Taylor|10.5|42.9|.270|.271
Andrew Knizner|1.4|23.2|.270|.278
Pete Alonso|18.9|54.4|.368|.386
Will Wagner|2.0|41.2|.280|.318
Leody Taveras|6.4|35.2|.230|.232
Nick Loftin|6.3|34.0|.279|.294
José Ramírez|7.0|37.0|.359|.342
Kyle Farmer|6.1|35.2|.282|.285
Jorge Mateo|4.1|36.7|.214|.206
Brendan Rodgers|14.3|48.6|.246|.296
Coco Montes|0.0|42.9|.176|.259
Tomás Nido|0.0|34.6|.314|.278
César Prieto|0.0|0.0|.147|.000
Liover Peguero|9.1|32.7|.281|.246
John Rave|5.5|40.0|.267|.302
Christian Vázquez|3.8|27.4|.248|.271
Ezequiel Tovar|9.3|38.9|.301|.319
Dylan Carlson|6.7|30.5|.273|.285
Marcell Ozuna|11.4|44.6|.334|.354
Michael Busch|17.1|47.3|.369|.378
Giancarlo Stanton|22.1|55.2|.395|.354
Jordan Westburg|11.2|43.4|.332|.327
Andrew McCutchen|8.3|42.5|.309|.333
Matt McLain|7.7|40.7|.286|.290
Masyn Winn|4.8|34.6|.297|.286
LaMonte Wade Jr.|4.5|31.8|.241|.281
Henry Davis|11.5|37.4|.229|.293
Chas McCormick|5.3|29.3|.257|.299
Billy Cook|0.0|40.0|.294|.378
Weston Wilson|10.3|41.0|.288|.330
George Valera|3.6|42.9|.330|.272
Nick Kurtz|18.4|51.1|.419|.372
José Azocar|0.0|27.8|.276|.343
Luis Arraez|1.1|16.7|.313|.303
James Outman|16.9|39.4|.237|.265
Vladimir Guerrero Jr.|12.2|50.7|.366|.384
Mickey Gasper|1.3|31.2|.229|.236
Carlos Cortes|9.2|44.7|.363|.314
Nick Sogard|5.6|34.7|.295|.302
Bryce Johnson|5.0|33.3|.359|.328
Alec Burleson|9.5|43.0|.346|.345
Luis Urías|3.7|30.2|.293|.300
J.C. Escarra|5.6|43.1|.280|.300
Riley Adams|10.5|52.3|.250|.275
Garrett Mitchell|6.7|42.2|.261|.288
Christian Encarnacion-Strand|9.0|44.0|.261|.275
Mitch Garver|7.9|46.9|.284|.298
Bryce Harper|12.3|47.5|.361|.368
Sal Frelick|3.1|27.4|.332|.299
JJ Bleday|7.8|38.7|.302|.276
Christian Koss|6.0|33.6|.297|.311
Kyle Schwarber|20.8|59.6|.391|.403
Jorge Polanco|10.3|45.8|.350|.343
Joshua Palacios|8.6|39.8|.271|.299
Moisés Ballesteros|6.7|33.3|.374|.339
Vinnie Pasquantino|10.8|44.7|.340|.334
Heriberto Hernández|10.9|45.4|.341|.334
Anthony Santander|4.5|41.0|.255|.265
Buddy Kennedy|4.8|42.9|.132|.202
Carson Kelly|9.6|40.3|.332|.321
Jose Miranda|4.3|43.5|.179|.205
Colson Montgomery|14.5|44.5|.355|.341
Nick Yorke|1.9|38.9|.256|.257
Tyler Black|0.0|28.6|.430|.428
Bryce Eldridge|25.0|68.8|.242|.362
Ryan O'Hearn|7.6|42.5|.349|.343
Tyler O'Neill|16.5|39.1|.297|.360
Christian Moore|6.9|36.3|.288|.282
Jung Hoo Lee|3.7|32.0|.320|.321
Jonathan Ornelas|0.0|33.3|.246|.143
Niko Kavadas|0.0|30.0|.167|.218
Ty France|7.7|44.2|.302|.328
Emmanuel Rivera|1.0|32.3|.258|.267
Dansby Swanson|11.7|47.8|.310|.345
Tyler Freeman|2.1|40.4|.319|.325
Aaron Judge|24.7|58.2|.463|.460
DaShawn Keirsey Jr.|5.8|34.6|.142|.173
Yohel Pozo|2.2|35.3|.275|.276
Drew Waters|4.1|28.8|.268|.265
Michael Toglia|10.2|43.2|.265|.271
MJ Melendez|8.1|45.9|.151|.208
Josh Naylor|6.7|41.9|.351|.335
Ryan Vilade|12.5|75.0|.151|.295
Alex Call|4.4|28.9|.331|.321
Josh Smith|5.0|31.1|.311|.310
Andrés Giménez|3.0|27.7|.269|.308
Victor Scott II|3.7|26.0|.274|.287
Samad Taylor|0.0|12.5|.110|.183
Travis d'Arnaud|11.4|37.9|.263|.271
Bryan Reynolds|10.1|46.0|.315|.338
Tyler Stephenson|14.4|49.2|.319|.313
Hunter Renfroe|6.3|35.4|.219|.257
Esteury Ruiz|7.7|23.1|.264|.249
Jake Burger|13.9|48.5|.295|.324
Tucker Barnhart|0.0|11.1|.271|.220
Will Banfield|0.0|25.0|.088|.151
Christian Walker|12.9|46.1|.310|.314
Nick Ahmed|0.0|16.7|.069|.201
Tyler Tolbert|2.4|38.1|.305|.313
Luis Vázquez|11.1|44.4|.201|.279
Rob Brantly|0.0|16.7|.378|.217
Alex Bregman|6.6|44.4|.356|.337
Jose Iglesias|2.0|28.5|.268|.281
Graham Pauley|5.5|35.4|.300|.299
Cedric Mullins|6.2|35.9|.302|.284
Ryan Jeffers|6.3|42.1|.333|.325
Corbin Carroll|14.5|49.9|.371|.372
Sam Haggerty|2.4|42.1|.307|.304
Rhylan Thomas|0.0|33.3|.194|.179
Alek Thomas|7.8|39.3|.287|.289
Austin Hedges|3.4|32.2|.239|.249
Oswald Peraza|6.7|38.8|.214|.248
Blaine Crim|15.4|53.8|.309|.322
Dairon Blanco|0.0|0.0|.209|.175
Mike Trout|15.8|49.3|.343|.358
Elly De La Cruz|10.2|44.2|.333|.322
Alejandro Kirk|10.1|50.8|.334|.359
Darell Hernaiz|3.2|30.1|.266|.305
Francisco Alvarez|12.1|54.3|.343|.326
Ben Williamson|3.3|40.5|.269|.269
Willy Adames|12.6|42.8|.321|.327
Michael Stefanic|5.3|42.1|.224|.283
Jake Cronenworth|6.2|39.0|.333|.319
Ji Hwan Bae|18.2|36.4|.174|.268
TJ Friedl|2.7|32.1|.333|.300
Nolan Jones|8.5|46.7|.270|.301
Cole Young|5.6|31.1|.274|.297
Logan Porter|0.0|0.0|.255|.198
Angel Martínez|3.5|29.3|.274|.255
Joc Pederson|9.5|44.8|.276|.315
Jon Berti|2.6|37.2|.226|.280
Greg Allen|0.0|33.3|.000|.142
Jasson Domínguez|7.0|49.6|.316|.306
James McCann|7.6|52.2|.328|.313
Jeff McNeil|5.1|32.9|.324|.330
Jon Singleton|0.0|50.0|.098|.279
Dalton Rushing|14.0|45.3|.256|.283
Jorbit Vivas|4.7|37.2|.242|.304
Gavin Lux|3.6|36.9|.322|.299
Jorge Barrosa|0.0|30.8|.171|.193
Dylan Crews|9.7|38.7|.279|.307
Luis García Jr.|9.0|45.8|.300|.339
Rafael Flores Jr.|12.5|62.5|.281|.361
Randal Grichuk|11.7|49.5|.289|.326
Casey Schmitt|9.0|43.8|.307|.328
Jacob Hurtubise|0.0|16.7|.201|.262
Dom Nuñez|0.0|0.0|.252|.043
Owen Caissie|13.3|20.0|.245|.232
Daulton Varsho|15.9|40.3|.345|.327
Steward Berroa|0.0|0.0|.115|.160
Pedro Pagés|7.3|36.5|.276|.259
Reese McGuire|9.2|36.7|.290|.254
William Contreras|6.4|48.5|.332|.331
Ha-Seong Kim|5.2|43.3|.288|.297
Gabriel Moreno|7.1|43.4|.340|.346
Yordan Alvarez|13.8|52.9|.338|.393
Fernando Tatis Jr.|10.9|51.8|.353|.370
Rowdy Tellez|15.3|46.4|.307|.328
Mark Vientos|11.5|50.5|.303|.320
Jazz Chisholm Jr.|15.0|43.3|.349|.346
Gio Urshela|2.1|34.0|.271|.286
Aaron Schunk|4.3|21.7|.177|.229
Danny Jansen|8.8|39.0|.318|.299
Jonah Heim|6.1|35.9|.266|.276
Tommy Pham|6.6|47.2|.308|.318
Luke Keaschall|5.2|31.2|.363|.324
Maikel Garcia|5.6|45.1|.347|.335
Alex Jackson|14.8|40.7|.327|.270
Manny Machado|12.9|51.5|.341|.355
Carlos Narváez|9.1|44.6|.315|.293
Donovan Solano|3.9|37.5|.277|.259
José Fermín|0.0|29.4|.352|.332
Garrett Hampson|2.0|19.6|.205|.217
Edmundo Sosa|6.3|38.0|.332|.290
Luis Campusano|0.0|30.0|.154|.208
Seth Brown|9.5|40.5|.265|.295
Sam Huff|13.8|37.9|.261|.253
Cody Bellinger|7.5|37.9|.347|.327
Carter Kieboom|0.0|28.6|.221|.243
Mason McCoy|13.3|26.7|.224|.287
Agustín Ramírez|11.0|47.0|.302|.332
Cam Devanney|6.7|46.7|.162|.188
Willi Castro|6.5|37.3|.302|.306
Drew Millas|2.3|23.3|.350|.305
Colby Thomas|13.3|49.3|.291|.281
Spencer Torkelson|13.5|45.1|.339|.334
Luis Guillorme|0.0|25.0|.159|.250
Luis Matos|7.5|37.7|.296|.274
Tsung-Che Cheng|0.0|50.0|.000|.165
Rafael Marchán|2.2|22.2|.264|.261
Kody Clemens|12.0|48.3|.307|.331
Cal Stevenson|0.0|16.7|.221|.152
Owen Miller|0.0|20.0|.228|.264
José Caballero|5.9|30.6|.309|.299
Patrick Bailey|5.6|36.4|.265|.264
Trevor Story|9.8|47.0|.320|.311
Kyle Isbel|1.6|36.1|.287|.251
Ramón Urías|8.0|41.8|.292|.289
Julio Rodríguez|9.8|48.0|.341|.348
Anthony Volpe|10.5|41.9|.286|.301
Jose Herrera|0.8|22.6|.251|.237
Carter Jensen|20.8|58.3|.403|.447
Warming Bernabel|2.6|32.5|.301|.273
Chad Stevens|0.0|14.3|.136|.169
Luis Torrens|10.7|48.1|.278|.338
Austin Wells|10.2|45.2|.302|.294
Austin Hays|10.4|38.4|.327|.300
Brady House|4.3|46.3|.248|.284
Johan Rojas|3.4|35.3|.254|.265
Nolan Arenado|3.9|32.6|.287|.289
Ben Rortvedt|3.3|19.6|.211|.240
Yuli Gurriel|0.0|17.9|.167|.190
Mike Tauchman|6.8|38.8|.335|.321
Junior Caminero|14.0|51.4|.357|.346
Daylen Lile|5.2|40.1|.360|.348
Brett Baty|12.8|46.9|.324|.334
Jesse Winker|7.8|45.1|.301|.277
Nacho Alvarez Jr.|1.4|26.8|.279|.270
Addison Barger|11.4|51.0|.322|.331
Jimmy Crooks|7.1|39.3|.171|.223
Tirso Ornelas|8.3|41.7|.142|.285
George Springer|16.1|47.6|.408|.404
Ezequiel Duran|2.6|30.9|.249|.247
Hunter Feduccia|8.2|32.8|.226|.275
José Tena|5.2|40.5|.296|.302
Max Muncy|10.1|32.4|.277|.267
Travis Jankowski|0.0|34.3|.256|.248
Ryan Fitzgerald|13.2|34.2|.328|.343
Drew Avans|0.0|16.7|.098|.153
Jorge Alfaro|8.0|44.0|.245|.247
Brooks Lee|5.8|38.5|.286|.289
Edgar Quero|3.7|46.3|.307|.290
Brent Rooker|13.7|44.8|.349|.351
Nolan Gorman|9.1|41.1|.292|.296
Jeimer Candelario|7.5|28.3|.189|.213
Noelvi Marte|9.0|36.3|.321|.304
Derek Hill|11.2|49.4|.272|.309
Lane Thomas|4.8|31.3|.235|.243
Connor Wong|3.1|31.0|.230|.266
Sandy León|0.0|25.0|.170|.159
Dustin Harris|3.7|25.9|.265|.231
Adley Rutschman|7.5|38.6|.298|.325
Jordan Walker|10.9|50.0|.260|.278
Jordan Lawlar|4.9|34.1|.244|.253
Nathan Lukes|4.7|37.0|.317|.315
Austin Barnes|3.4|20.7|.227|.240
Yandy Díaz|8.3|52.5|.364|.353
Freddy Fermin|4.2|34.1|.280|.271
Adael Amador|3.4|24.7|.238|.269
Ronny Mauricio|8.8|43.0|.290|.286
Joey Ortiz|3.0|32.8|.263|.275
Sebastián Rivero|8.3|29.2|.198|.204
Victor Mesa Jr.|7.1|42.9|.288|.331
Joey Loperfido|5.7|37.1|.381|.316
Leo Jiménez|9.1|50.0|.139|.240
Brett Sullivan|25.0|100.0|.255|.374
Michael Helman|8.6|24.7|.319|.250
Myles Straw|3.9|27.1|.299|.295
Alan Trejo|8.6|28.6|.181|.244
Brandon Lockridge|2.9|32.0|.254|.267
Connor Norby|9.4|37.1|.300|.307
Brayan Rocchio|3.3|35.5|.278|.295
Bryson Stott|5.1|29.5|.315|.313
Matt Mervis|8.5|38.0|.274|.223
Oneil Cruz|17.9|56.6|.295|.324
CJ Abrams|7.6|39.2|.324|.309
Jace Jung|3.2|38.7|.181|.241
Tim Elko|10.8|48.6|.228|.243
Christian Yelich|10.3|46.4|.343|.330
Korey Lee|3.4|34.5|.333|.250
Brandon Nimmo|8.8|50.2|.329|.321
Tyler Locklear|6.7|41.7|.245|.252
Dominic Fletcher|3.3|40.0|.311|.289
Kevin Pillar|2.9|20.0|.202|.216
Lawrence Butler|9.2|44.4|.310|.304
Colton Cowser|14.1|46.0|.285|.293
Jo Adell|17.3|50.0|.333|.365
Vidal Bruján|0.0|37.3|.275|.266
Lourdes Gurriel Jr.|7.2|38.3|.307|.315
Geraldo Perdomo|6.2|31.9|.370|.356
Enmanuel Valdez|8.0|42.7|.290|.327
Bo Naylor|9.7|38.3|.289|.292
Joey Wiemer|14.7|61.8|.297|.305
Wilmer Flores|4.8|26.9|.302|.281
Jose Trevino|4.4|40.7|.271|.278
Cody Freeman|4.1|25.8|.261|.269
Leo Rivas|3.0|19.7|.333|.288
Enrique Hernández|9.4|37.6|.268|.287
Yoán Moncada|14.3|43.4|.339|.324
Eric Haase|10.0|22.5|.286|.273
Jackson Chourio|9.7|42.3|.328|.307
Ronny Simon|6.2|36.9|.259|.295
Royce Lewis|8.7|40.3|.292|.297
Alejandro Osuna|5.9|37.0|.270|.338
Cavan Biggio|4.0|36.0|.257|.303
Miguel Andujar|4.7|35.4|.354|.298
Matthew Lugo|13.3|42.2|.299|.260
Nathaniel Lowe|7.0|41.5|.301|.303
Keibert Ruiz|2.2|30.9|.262|.287
Vinny Capra|2.6|32.9|.150|.211
Gage Workman|11.1|33.3|.218|.312
Luke Raley|10.6|42.3|.291|.312
Edouard Julien|12.2|42.3|.286|.329
Lars Nootbaar|10.2|50.0|.304|.317
Oliver Dunn|0.0|32.1|.190|.235
Max Schuemann|2.6|32.9|.262|.297
CJ Alexander|0.0|11.1|.156|.181
Robert Hassell III|8.1|40.7|.252|.273
Bobby Witt Jr.|12.5|48.5|.360|.365
Tyler Fitzgerald|4.5|27.9|.269|.242
David Hamilton|6.0|27.8|.260|.260
Yanquiel Fernández|8.4|36.8|.268|.243
Dominic Canzone|14.4|49.7|.361|.376
Matt Thaiss|4.5|42.9|.298|.294
Ronald Acuña Jr.|15.7|52.5|.403|.397
Andrew Vaughn|12.0|47.7|.311|.349
Griffin Conine|14.8|48.1|.318|.299
Jonah Bride|2.7|28.4|.203|.223
J.D. Davis|0.0|33.3|.098|.117
Heston Kjerstad|8.0|41.1|.248|.290
Nico Hoerner|2.3|30.3|.324|.322
Triston Casas|9.7|44.4|.256|.304
Brenton Doyle|10.8|44.6|.282|.300
Harrison Bader|10.2|40.3|.346|.297
Luis Robert Jr.|10.2|41.6|.289|.321
Gary Sánchez|10.8|57.8|.311|.315
Parker Meadows|5.1|30.9|.277|.291
Andrew Benintendi|11.0|36.9|.317|.320
Justin Foscue|0.0|66.7|.139|.189
Jonatan Clase|6.8|35.6|.267|.284
Corey Seager|15.3|53.6|.365|.400
Ian Happ|10.4|44.4|.333|.354
Jakob Marsee|8.0|41.4|.363|.347
Jac Caglianone|12.0|42.4|.239|.321
Carlos Correa|6.8|45.9|.322|.338
Randy Arozarena|11.5|50.6|.332|.327
Kevin Newman|2.2|29.3|.209|.218
Daz Cameron|7.1|32.1|.221|.263
Jacob Wilson|2.2|24.7|.348|.304
Will Robertson|9.1|31.8|.149|.188
Gustavo Campero|6.8|22.7|.277|.325
Josh Lowe|5.9|39.6|.284|.298
Tyler Soderstrom|11.4|49.8|.354|.341
Andy Pages|8.4|37.2|.332|.316
Gabriel Arias|11.3|43.3|.278|.286
Christopher Morel|14.8|49.7|.299|.304
Xander Bogaerts|6.9|39.2|.313|.327
Kevin Alcántara|0.0|42.9|.352|.443
Ceddanne Rafaela|9.2|38.7|.307|.305
Omar Narváez|0.0|14.3|.315|.295
Zach Neto|14.0|46.6|.337|.344
Jarred Kelenic|13.5|37.8|.236|.272
Matt Vierling|12.1|45.5|.278|.338
Bryan De La Cruz|6.9|51.7|.208|.245
Ryan Mountcastle|11.7|47.1|.284|.313
Jackson Holliday|7.8|40.8|.304|.314
Brice Matthews|25.0|41.7|.287|.294
DJ LeMahieu|4.3|51.6|.304|.295
Ke'Bryan Hayes|4.5|42.5|.266|.282
Drew Gilbert|4.9|35.8|.260|.270
Pablo Reyes|4.5|31.8|.214|.236
Javier Sanoja|1.8|35.0|.294|.282
Kyle Manzardo|11.8|43.8|.329|.322
Romy Gonzalez|12.6|57.3|.352|.344
CJ Kayfus|9.2|36.8|.306|.322
Jordyn Adams|0.0|66.7|.000|.224
Adrian Del Castillo|6.7|49.3|.295|.269
Brian Navarreto|25.0|66.7|.362|.330
Will Brennan|0.0|30.0|.177|.199
Zach Dezenzo|16.4|41.0|.306|.316
Trey Sweeney|6.7|35.1|.245|.245
Alex Freeland|8.0|38.0|.273|.260
Jackson Merrill|13.0|42.9|.331|.347
Hayden Senger|3.8|38.5|.190|.259
Will Wilson|2.0|36.7|.236|.219
Connor Kaiser|7.7|23.1|.149|.239
Chase Meidroth|1.6|36.1|.294|.300
Oswaldo Cabrera|0.0|34.5|.286|.284
Brooks Baldwin|10.9|40.9|.302|.307
Nasim Nuñez|4.7|42.2|.304|.296
Maximo Acosta|13.5|56.8|.302|.349
Michael Siani|0.0|20.0|.259|.312
Andruw Monasterio|5.3|35.1|.328|.280
Denzel Clarke|6.7|42.7|.281|.250
Adolis García|11.6|46.7|.286|.304
Jared Young|14.3|39.3|.301|.296
Trevor Larnach|7.2|45.7|.317|.315
J.T. Realmuto|8.8|45.5|.307|.316
Akil Baddoo|0.0|41.7|.157|.277
Michael Massey|4.0|33.0|.254|.265
Michael Conforto|9.7|44.0|.287|.330
Xavier Edwards|0.8|29.4|.308|.295
Josh Rojas|3.5|36.8|.232|.263
Everson Pereira|7.9|44.7|.212|.242
Marcelo Mayer|9.2|51.7|.290|.267
Freddie Freeman|10.4|45.7|.370|.350
Cooper Hummel|12.1|37.9|.268|.313
Trent Grisham|14.2|46.4|.353|.370
Braxton Fulford|5.3|38.7|.258|.262
Trea Turner|5.8|42.1|.352|.321
Jacob Melton|4.9|43.9|.198|.240
Nathan Church|2.4|41.5|.232|.247
Endy Rodríguez|2.6|44.7|.226|.249
Connor Joe|5.8|36.5|.231|.276
Kristian Campbell|5.1|41.8|.299|.296
Taylor Trammell|7.8|40.3|.282|.271
James Wood|16.3|56.3|.353|.361
Zack Gelof|12.5|47.9|.224|.219
Jeremiah Jackson|7.5|46.7|.336|.291
Liam Hicks|3.5|27.7|.313|.315
Isaac Paredes|6.3|33.6|.353|.320
Jacob Amaya|0.0|29.6|.120|.197
David Villar|6.7|26.7|.295|.337
Ben Rice|15.4|56.1|.358|.394
Hyeseong Kim|2.7|28.2|.306|.251
Joey Bart|10.4|43.2|.317|.318
Anthony Seigler|2.1|37.5|.239|.305
Eric Wagaman|6.8|46.5|.293|.315
Jhostynxon Garcia|0.0|50.0|.293|.309
Abraham Toro|4.5|34.2|.286|.302
Thairo Estrada|3.1|30.5|.284|.264
Adam Frazier|2.0|20.6|.300|.279
Blaze Alexander|12.8|43.2|.313|.305
Alexander Canario|12.4|43.8|.270|.295
Nick Martini|3.6|31.0|.259|.253
Johnathan Rodríguez|6.1|55.1|.273|.282
Alan Roden|2.0|30.4|.249|.227
Tyrone Taylor|3.8|35.1|.264|.298
Bob Seymour|0.0|47.8|.239|.236
Luisangel Acuña|1.4|35.5|.258|.271
Otto Lopez|7.1|38.3|.295|.330
Victor Caratini|7.7|40.7|.318|.329
Jarren Duran|9.7|46.8|.335|.326
Blake Dunn|8.6|37.1|.272|.304
Tyler Callihan|0.0|60.0|.147|.194
Jorge Soler|12.8|42.0|.298|.294
Austin Wynns|9.6|46.6|.365|.295
Bryce Teodosio|4.3|26.6|.243|.222
Luke Maile|6.5|45.2|.316|.342
Alex Verdugo|3.0|42.8|.264|.306
Ali Sánchez|17.6|41.2|.224|.255
Jake McCarthy|5.3|27.6|.256|.286
Zach McKinstry|6.1|30.5|.333|.305
Kerry Carpenter|12.5|46.8|.335|.335
Eli White|9.0|40.4|.290|.310
David Fry|9.1|39.8|.258|.202
Rob Refsnyder|12.3|52.3|.359|.338
Taylor Ward|13.7|42.7|.339|.333
Matt Shaw|6.9|29.4|.300|.302
Gunnar Henderson|8.5|49.2|.339|.341
Rafael Devers|16.0|56.1|.365|.367
Jhonkensy Noel|6.2|41.2|.207|.202
Carlos Santana|4.9|37.8|.284|.290
Blake Perkins|3.7|34.3|.287|.279
Zach Cole|14.8|48.1|.373|.305
Lenyn Sosa|10.4|43.8|.313|.326
Spencer Horwitz|8.2|36.0|.344|.326
Willie MacIver|4.0|37.3|.256|.256
Bobby Dalbec|0.0|25.0|.284|.245
Mark Canha|2.2|33.0|.244|.268
Brendan Donovan|8.8|40.9|.337|.346
Maverick Handley|0.0|34.6|.106|.177
Mookie Betts|5.5|35.8|.318|.330
Brett Wisely|7.1|31.0|.267|.284
Starling Marte|7.8|40.4|.326|.319
Isiah Kiner-Falefa|1.4|27.5|.279|.262
Heliot Ramos|8.8|47.4|.319|.320
Troy Johnston|9.3|40.7|.328|.341
Justyn-Henry Malloy|4.1|31.1|.301|.295
Jesús Sánchez|11.1|43.4|.304|.323
Alec Bohm|6.2|46.4|.322|.324
Miguel Vargas|9.3|40.5|.314|.319
Austin Riley|15.2|50.2|.318|.330
Samuel Basallo|8.9|43.0|.246|.286
César Salazar|0.0|18.2|.297|.298
Nick Solak|0.0|33.3|.080|.141
Javier Báez|5.5|39.9|.293|.270
Brandon Marsh|8.3|46.4|.339|.330
Ildemaro Vargas|3.9|37.3|.292|.287
Billy McKinney|0.0|26.3|.219|.346
Bryan Ramos|12.5|12.5|.209|.242
Donovan Walton|0.0|37.5|.110|.274
Zac Veen|5.0|30.0|.193|.188
Tim Tawa|9.3|42.1|.273|.290
Gavin Sheets|9.5|46.5|.323|.340
Eddie Rosario|16.7|66.7|.110|.329
Nick Gonzales|4.5|38.8|.289|.291
Coby Mayo|10.1|36.0|.303|.289
Jake Bauers|13.6|45.6|.333|.356
Will Benson|15.4|53.8|.298|.342
Jake Rogers|9.2|40.2|.270|.274
Nicky Lopez|0.0|40.0|.130|.240
Salvador Perez|14.8|46.7|.311|.357
Nick Allen|0.0|21.6|.245|.252
Luken Baker|8.3|54.2|.317|.328
Kyle Karros|1.0|33.7|.268|.261
Matt Chapman|9.9|47.6|.336|.340
Cal Raleigh|19.5|49.6|.392|.371
Ramón Laureano|13.8|49.1|.364|.362
Andy Ibáñez|4.6|36.4|.289|.304
Jahmai Jones|13.4|53.6|.399|.399
Shohei Ohtani|23.5|58.7|.418|.425
Vimael Machín|11.1|33.3|.227|.286
Logan Davidson|4.5|27.3|.225|.198
Grant McCray|15.4|23.1|.154|.223
Ryan McMahon|12.1|50.5|.306|.322
Spencer Steer|7.6|33.2|.316|.293
Taylor Walls|3.2|26.4|.265|.261
Kris Bryant|7.7|34.6|.181|.217
Amed Rosario|6.0|45.0|.321|.331
Ryan Bliss|12.5|33.3|.268|.297
Will Smith|12.2|47.1|.389|.378
Max Muncy|13.6|51.5|.366|.374
Byron Buxton|17.6|53.8|.367|.350
Justin Turner|3.7|30.9|.268|.297
Marcus Semien|6.7|35.0|.295|.318
Steven Kwan|1.9|19.3|.310|.310
Trenton Brooks|7.1|35.7|.199|.255
Chris Taylor|6.9|36.1|.250|.270
Jose Siri|20.0|33.3|.146|.205
Josh Bell|12.0|47.0|.324|.359
Wenceel Pérez|8.8|40.1|.318|.310
Juan Soto|18.1|55.3|.390|.429
Jason Heyward|4.4|33.8|.217|.245
Nolan Schanuel|4.5|29.0|.327|.327
Drake Baldwin|11.0|49.6|.351|.353
Caleb Durbin|4.0|26.9|.319|.312
Martín Maldonado|9.4|28.1|.251|.251
Jack Winkler|8.3|25.0|.267|.201
Jordan Beck|9.6|38.5|.319|.301
Evan Carter|5.9|34.6|.321|.312
Iván Herrera|11.0|47.7|.365|.371
Paul Goldschmidt|7.9|43.7|.316|.329
Jake Mangum|2.6|33.4|.307|.276
Luke Williams|4.3|27.3|.167|.230
Zack Short|3.0|39.4|.295|.241
Davis Schneider|14.0|41.1|.351|.323
Miguel Rojas|4.0|31.2|.312|.293
Willson Contreras|13.9|49.0|.344|.358
Mike Yastrzemski|8.5|42.6|.321|.329
Jonathan Aranda|12.8|54.5|.381|.382
Tim Anderson|0.0|36.4|.229|.219
Gleyber Torres|8.2|39.0|.332|.363
Richie Palacios|5.9|44.1|.369|.360
Dillon Dingler|9.2|45.7|.326|.351
Brett Harris|3.7|27.8|.311|.288
Josh Jung|8.2|46.7|.298|.304
