name|stuff_plus|location_plus|pitching_plus
John Schreiber|94|94|92
Colin Holderman|103|80|79
Ryan Walker|100|100|103
Walker Buehler|89|90|85
Kenley Jansen|112|114|120
Cionel Perez|112|108|122
Roddery Munoz|85|74|63
Christian Roa|98|87|86
Miles Mikolas|89|123|111
Phil Maton|107|80|89
Cole Sulser|93|98|95
Ranger Suarez|91|97|93
Brad Keller|125|97|119
Jesus Luzardo|114|93|105
Andres Munoz|108|109|117
Brayan Bello|96|101|91
Johan Oviedo|102|97|97
Pierce Johnson|99|106|98
Nathan Eovaldi|96|105|102
Drew Anderson|96|67|67
Jordan Hicks|97|68|67
Mason Montgomery|109|94|102
Justin Verlander|100|78|76
Slade Cecconi|93|91|79
Bailey Falter|87|84|76
Joel Payamps|99|113|111
Taylor Clarke|99|104|107
Ryan Johnson|92|68|63
Chris Roycroft|92|77|77
Tyler Gilbert|89|46|39
Chris Paddack|93|104|96
Mason Englert|89|107|97
Shane Smith|98|97|98
Kyle Backhus|117|84|89
Andre Granillo|99|83|100
Tyler Heineman|6|87|7
James McCann|51|89|52
Richard Lovelady|97|108|106
Chase Dollander|106|106|107
Spencer Miles|97|95|92
Justin Lawrence|104|98|105
Zack Littell|84|103|87
Zak Kent|83|60|52
Michael Kelly|95|94|91
Hoby Milner|98|113|106
Greg Weissert|117|105|114
Luis Morales|85|94|86
Brandon Williamson|99|97|96
German Marquez|87|90|78
Seranthony Dominguez|98|94|95
Steven Cruz|105|106|114
Jedixson Paez|80|108|97
Bryan Abreu|102|95|98
Joe Ross|83|90|80
Jose Butto|89|69|67
Brendon Little|107|83|90
Juan Morillo|105|76|79
Victor Vodnik|99|99|103
Cristian Javier|94|81|78
Brandon Sproat|100|103|105
Yaramil Hiraldo|102|69|72
Griffin Jax|112|93|105
Carlos Estevez|78|63|45
Ryne Nelson|105|90|97
Emilio Pagan|107|102|108
Hunter Barco|99|90|91
