name|team|pos|pa|hr|r|rbi|sb|so|avg|obp|slg|war
Nolan Gorman|STL|2B|532|24|63|69|4|171|220|300|416|13
Tyler O'Neill|BAL|OF|413|20|53|56|5|117|235|320|443|13
Josh Lowe|LAA|OF|497|15|59|57|21|133|251|313|416|13
Parker Meadows|DET|OF|371|9|45|40|10|92|231|306|385|13
Cedric Mullins|TBR|OF|476|14|56|54|20|108|225|300|380|13
Denzel Clarke|ATH|OF|420|9|50|44|14|139|229|301|369|13
Kyle Isbel|KCR|OF|490|9|58|48|9|96|243|297|371|13
Danny Jansen|TEX|C|352|14|41|42|1|83|213|309|396|13
Jonathan India|KCR|2B|497|11|59|46|5|95|243|338|378|13
Jake Burger|TEX|1B/3B|595|27|70|85|2|147|242|293|444|13
Carson Williams|TBR|SS|420|15|50|50|12|146|209|282|379|13
Nathan Lukes|TOR|OF|294|6|35|34|3|46|270|334|405|12
Joc Pederson|TEX|OF|420|18|52|53|3|97|236|338|435|12
Isaac Collins|KCR|OF|448|9|54|48|15|97|237|337|376|12
Victor Caratini|MIN|C|400|10|40|44|1|70|253|324|381|12
Luis Torrens|NYM|C|218|5|21|24|1|49|244|298|382|12
Gabriel Arias|CLE|SS|483|14|49|52|9|149|230|284|378|12
Brooks Baldwin|CHW|OF|399|13|45|49|8|90|251|305|413|12
Cam Smith|HOU|OF|504|12|58|55|8|130|243|316|383|12
Kyle Higashioka|TEX|C|276|10|28|34|2|68|227|275|398|12
Josh Bell|MIN|1B|574|20|65|68|1|107|252|336|420|12
Willi Castro|COL|OF|539|13|67|54|14|121|257|332|408|12
Jake Mangum|PIT|OF|371|3|37|36|14|62|282|321|379|12
Wenceel Pérez|DET|OF|525|14|62|60|11|113|240|305|397|12
Tyler Stephenson|CIN|C|450|14|50|53|1|126|234|316|395|11
Jake Rogers|DET|C|192|6|22|23|1|56|213|283|377|11
Zach McKinstry|DET|3B/OF|385|8|45|37|13|83|239|312|382|11
Mark Vientos|NYM|3B/DH|441|20|52|63|1|115|250|311|450|11
Nick Fortes|TBR|C|314|8|33|32|2|55|228|287|353|11
Ramón Urías|STL|3B|322|9|34|35|2|74|248|309|393|11
Christian Moore|LAA|2B|441|11|49|47|8|135|229|302|371|11
Joey Bart|PIT|C|301|7|32|31|1|84|238|327|368|10
Marcelo Mayer|BOS|3B|420|11|51|49|4|97|245|302|401|10
Max Muncy|ATH|2B/3B|336|9|36|42|3|93|243|301|394|10
Owen Caissie|MIA|OF|420|13|49|49|4|130|241|320|407|10
Jacob Young|WSN|OF|315|3|36|27|16|57|251|313|332|10
Edouard Julien|COL|2B|413|10|47|41|5|117|249|354|395|10
Lourdes Gurriel Jr.|ARI|OF|462|15|51|60|7|73|266|314|428|10
Blaze Alexander|BAL|3B|280|6|29|30|5|84|232|314|366|10
Miguel Amaya|CHC|C|298|8|32|36|1|63|240|308|389|10
Colt Emerson|SEA|SS|329|6|35|33|5|72|228|307|344|10
Brady House|WSN|3B|546|15|57|62|6|148|245|283|382|10
Logan O'Hoppe|LAA|C|452|19|48|55|2|126|232|293|409|9
Trevor Larnach|MIN|DH/OF|427|13|50|50|3|100|249|327|410|9
Austin Martin|MIN|OF|350|3|40|30|12|58|254|347|345|9
José Caballero|NYY|2B/SS|308|6|37|29|31|78|220|313|334|9
Henry Davis|PIT|C/OF|282|8|31|30|4|73|224|302|373|9
Luis Rengifo|MIL|2B/3B|434|9|45|45|10|79|251|305|375|9
Jake McCarthy|COL|OF|350|6|45|34|14|58|275|336|406|9
Mickey Moniak|COL|OF|483|21|62|69|9|119|266|308|481|9
Austin Hays|CHW|OF|483|16|58|56|6|121|246|302|418|9
Victor Robles|SEA|OF|294|5|34|28|16|64|246|314|366|9
Joe Mack|MIA|C|257|8|28|29|2|72|219|285|368|9
Luisangel Acuña|CHW|2B|392|5|46|33|21|72|251|299|340|8
Dalton Rushing|LAD|C|168|6|21|22|1|47|229|323|411|8
Sung-Mun Song|SDP|2B/3B|301|6|33|30|6|51|243|304|363|8
Edmundo Sosa|PHI|3B/SS|238|7|27|29|3|54|253|297|415|8
Dominic Canzone|SEA|OF|420|16|49|53|4|96|245|304|423|8
Hunter Feduccia|TBR|C|262|5|28|24|1|69|222|313|348|8
Romy Gonzalez|BOS|1B/2B|224|6|27|29|6|55|269|312|433|8
Coby Mayo|BAL|1B|189|8|23|24|2|52|233|309|431|8
Nasim Nuñez|WSN|SS|385|4|44|32|29|90|227|307|303|8
Tyler Heineman|TOR|C|154|3|16|14|2|31|224|309|328|8
Giancarlo Stanton|NYY|DH/OF|413|24|48|65|0|127|225|303|459|8
Matt Shaw|CHC|3B|252|8|32|30|9|49|244|321|408|8
Harry Ford|WSN|C|245|5|28|25|4|55|232|331|355|8
Luis Campusano|SDP|C|203|6|24|24|1|40|247|324|400|8
Colby Thomas|ATH|OF|259|9|31|36|4|78|242|298|428|8
Travis Bazzana|CLE|2B|238|5|30|24|4|69|217|315|348|8
Jorge Soler|LAA|DH/OF|511|22|61|64|1|140|226|313|423|7
CJ Kayfus|CLE|1B/OF|266|7|31|32|3|73|243|321|411|7
Zach Cole|HOU|OF|378|13|44|47|10|149|216|294|395|7
Paul Goldschmidt|NYY|1B|385|12|47|45|4|87|256|325|412|7
Chandler Simpson|TBR|OF|455|1|55|37|41|48|287|328|345|7
Ryan Ritter|COL|2B/SS|245|6|30|28|4|64|253|323|405|7
Alek Thomas|ARI|OF|399|9|46|42|7|91|243|290|382|7
Austin Hedges|CLE|C|141|3|12|12|1|38|191|264|299|7
Andrew Vaughn|MIL|1B/OF|560|20|57|74|1|111|246|307|417|7
Luke Raley|SEA|1B/OF|350|12|40|41|5|106|222|309|388|7
David Hamilton|MIL|2B/SS|189|5|24|19|16|46|223|294|359|7
Rhys Hoskins|CLE|1B|420|17|46|53|2|115|223|316|409|7
Spencer Steer|CIN|1B/OF|385|13|44|47|7|82|237|319|407|7
Pavin Smith|ARI|1B/OF|455|13|52|52|3|116|237|333|391|6
Gavin Sheets|SDP|DH/OF|490|16|49|59|2|101|240|307|403|6
J.C. Escarra|NYY|C|130|3|14|14|1|24|235|313|369|6
Carson Benge|NYM|OF|364|9|46|41|8|79|241|320|385|6
