name|team|pa|hr|r|rbi|sb|so|avg|obp|slg
Maikel Garcia|KCR|666|16|81|74|23|84|.286|0.351|0.449
Gabriel Moreno|ARI|309|9|44|40|2|53|.285|0.353|0.433
Dominic Smith|SFG|225|5|26|33|2|42|.284|0.333|0.417
Iván Herrera|STL|452|19|54|66|8|84|.284|0.373|0.464
Xavier Edwards|MIA|619|3|75|43|27|88|.283|0.343|0.353
Ketel Marte|ARI|556|28|87|72|4|83|.283|0.376|0.517
José Ramírez|CLE|673|30|103|85|44|74|.283|0.360|0.503
Alejandro Kirk|TOR|506|15|45|76|1|59|.282|0.348|0.421
Shohei Ohtani|LAD|727|55|146|102|20|187|.282|0.392|0.622
Ramón Laureano|2 Tms|488|24|72|76|7|119|.281|0.342|0.512
Tyler Freeman|COL|428|2|50|31|18|51|.281|0.354|0.361
Ryan O'Hearn|2 Tms|544|17|67|63|3|109|.281|0.366|0.437
Brandon Marsh|PHI|425|11|59|43|7|110|.280|0.342|0.443
Dillon Dingler|DET|469|13|54|57|0|110|.278|0.327|0.425
Hunter Goodman|COL|579|31|73|91|1|152|.278|0.323|0.520
Ernie Clement|TOR|588|9|83|50|6|61|.277|0.313|0.398
Harrison Bader|2 Tms|501|17|61|54|11|136|.277|0.347|0.449
Shea Langeliers|ATH|523|31|73|72|7|103|.277|0.325|0.536
Tyler Soderstrom|ATH|624|25|75|93|8|141|.276|0.346|0.474
Edmundo Sosa|PHI|261|11|30|39|1|56|.276|0.307|0.469
Carlos Correa|2 Tms|584|13|63|52|0|113|.276|0.332|0.402
Manny Machado|SDP|678|27|91|95|14|131|.275|0.335|0.460
Drake Baldwin|ATL|446|19|56|80|0|68|.274|0.341|0.469
Paul Goldschmidt|NYY|534|10|76|45|5|100|.274|0.328|0.403
Gunnar Henderson|BAL|651|17|85|68|30|137|.274|0.349|0.438
Giancarlo Stanton|NYY|281|24|36|66|0|96|.273|0.350|0.594
Kyle Teel|CHW|297|8|38|35|3|77|.273|0.375|0.411
Alex Bregman|BOS|495|18|64|62|1|70|.273|0.360|0.462
Matt Olson|ATL|724|29|98|95|1|176|.272|0.366|0.484
Pete Alonso|NYM|709|38|87|126|1|162|.272|0.347|0.524
Cody Bellinger|NYY|656|29|89|98|13|90|.272|0.334|0.480
Steven Kwan|CLE|693|11|81|56|21|60|.272|0.330|0.374
Spencer Horwitz|PIT|411|11|55|51|0|73|.272|0.353|0.434
Andy Pages|LAD|624|27|74|86|14|135|.272|0.313|0.461
Corey Seager|TEX|445|21|61|50|3|87|.271|0.373|0.487
Starling Marte|NYM|329|9|37|34|7|68|.270|0.335|0.410
Mickey Moniak|COL|461|24|62|68|9|110|.270|0.306|0.518
Jackson Chourio|MIL|589|21|88|78|21|121|.270|0.308|0.463
Rob Refsnyder|BOS|209|9|29|30|3|54|.269|0.354|0.484
Gavin Lux|CIN|503|5|49|53|1|114|.269|0.350|0.374
Edgar Quero|CHW|403|5|31|36|0|71|.268|0.333|0.356
Fernando Tatis Jr.|SDP|691|25|111|71|32|129|.268|0.368|0.446
Adam Frazier|2 Tms|459|7|43|44|8|81|.267|0.319|0.365
Francisco Lindor|NYM|732|31|117|86|31|131|.267|0.346|0.466
Julio Rodríguez|SEA|710|32|106|95|30|152|.267|0.324|0.474
Alex Call|2 Tms|322|5|43|31|2|55|.267|0.361|0.385
Jung Hoo Lee|SFG|617|8|73|55|10|71|.266|0.327|0.407
Ryan Jeffers|MIN|464|9|47|47|1|91|.266|0.356|0.397
Kyle Tucker|CHC|597|22|91|73|25|88|.266|0.377|0.464
Masataka Yoshida|BOS|205|4|16|26|3|24|.266|0.307|0.388
Austin Hays|CIN|416|15|60|64|7|107|.266|0.315|0.453
Heriberto Hernández|MIA|294|10|40|45|1|77|.266|0.347|0.438
Jorge Polanco|SEA|524|26|64|78|6|82|.265|0.326|0.495
Jose Altuve|HOU|654|26|80|77|10|109|.265|0.329|0.442
Jordan Westburg|BAL|352|17|59|41|1|80|.265|0.313|0.457
J.P. Crawford|SEA|654|12|69|58|8|122|.265|0.352|0.370
Lenyn Sosa|CHW|544|22|57|75|2|127|.264|0.293|0.434
Byron Buxton|MIN|542|35|97|83|24|148|.264|0.327|0.551
Nolan Schanuel|LAA|564|12|64|53|5|71|.264|0.353|0.389
Junior Caminero|TBR|653|45|93|110|7|125|.264|0.311|0.535
Vinnie Pasquantino|KCR|682|32|72|113|1|107|.264|0.323|0.475
Elly De La Cruz|CIN|699|22|102|86|37|181|.264|0.336|0.440
Jackson Merrill|SDP|483|16|59|67|1|108|.264|0.317|0.457
Christian Yelich|MIL|644|29|88|103|16|167|.264|0.343|0.452
Isaac Collins|MIL|441|9|56|54|16|93|.263|0.368|0.411
Juan Soto|NYM|715|43|120|105|38|137|.263|0.396|0.525
Trevor Story|BOS|654|25|91|96|31|176|.263|0.308|0.433
Xander Bogaerts|SDP|552|11|63|53|20|94|.263|0.328|0.391
Mike Tauchman|CHW|385|9|44|40|0|86|.263|0.356|0.400
Noelvi Marte|CIN|360|14|45|51|10|85|.263|0.300|0.448
Brandon Nimmo|NYM|652|25|81|92|13|141|.262|0.324|0.436
Isiah Kiner-Falefa|2 Tms|459|2|45|40|15|77|.262|0.297|0.334
Myles Straw|TOR|299|4|51|32|12|50|.262|0.313|0.367
Miguel Rojas|LAD|317|7|35|27|5|46|.262|0.318|0.397
Brent Rooker|ATH|699|30|92|89|6|155|.262|0.335|0.479
Bryce Harper|PHI|580|27|72|75|12|121|.261|0.357|0.487
Michael Busch|CHC|592|34|78|90|4|139|.261|0.343|0.523
TJ Friedl|CIN|685|14|82|53|12|115|.261|0.364|0.378
Nick Gonzales|PIT|408|5|39|30|0|73|.260|0.299|0.362
William Contreras|MIL|659|17|89|76|6|120|.260|0.355|0.399
Austin Riley|ATL|447|16|54|54|2|128|.260|0.309|0.428
Corbin Carroll|ARI|642|31|107|84|32|153|.259|0.343|0.541
Zach McKinstry|DET|511|12|68|49|19|111|.259|0.333|0.438
Victor Caratini|HOU|386|12|35|46|1|65|.259|0.324|0.404
Riley Greene|DET|655|36|84|111|2|201|.258|0.313|0.493
Pavin Smith|ARI|288|8|36|28|2|92|.258|0.362|0.434
Thomas Saggese|STL|295|2|25|25|3|83|.258|0.299|0.342
Mookie Betts|LAD|663|20|95|82|8|68|.258|0.326|0.406
Jordan Beck|COL|588|16|62|53|19|174|.258|0.317|0.416
Jasson Domínguez|NYY|429|10|58|47|23|115|.257|0.331|0.388
Willson Contreras|STL|563|20|70|80|5|142|.257|0.344|0.447
J.T. Realmuto|PHI|550|12|57|52|8|129|.257|0.315|0.384
Zach Neto|LAA|554|26|82|62|26|149|.257|0.319|0.474
CJ Abrams|WSN|635|19|92|60|31|125|.257|0.315|0.433
Ty France|2 Tms|490|7|50|52|1|83|.257|0.320|0.360
Javier Báez|DET|437|12|55|57|5|109|.257|0.282|0.398
Bryson Stott|PHI|560|13|66|66|24|91|.257|0.328|0.391
Yainer Diaz|HOU|567|20|56|70|1|95|.256|0.284|0.417
Heliot Ramos|SFG|695|21|85|69|6|158|.256|0.328|0.400
Jarren Duran|BOS|696|16|86|84|24|169|.256|0.332|0.442
Brandon Lowe|TBR|553|31|79|83|3|149|.256|0.307|0.477
Caleb Durbin|MIL|506|11|60|53|18|50|.256|0.334|0.387
Francisco Alvarez|NYM|277|11|32|32|0|73|.256|0.339|0.447
Colt Keith|DET|468|13|65|45|1|102|.256|0.333|0.413
James Wood|WSN|689|31|87|94|15|221|.256|0.350|0.475
Gleyber Torres|DET|628|16|79|74|4|101|.256|0.358|0.387
Kyle Isbel|KCR|409|4|42|33|4|74|.255|0.301|0.353
Nathan Lukes|TOR|438|12|55|65|2|60|.255|0.323|0.407
Ben Rice|NYY|530|26|74|65|3|100|.255|0.337|0.499
Brett Baty|NYM|432|18|53|50|8|108|.254|0.313|0.435
Isaac Paredes|HOU|438|20|53|53|0|76|.254|0.352|0.458
Andrew Vaughn|2 Tms|447|14|35|65|0|80|.254|0.307|0.411
Chase Meidroth|CHW|505|5|54|23|14|72|.253|0.329|0.320
Ezequiel Tovar|COL|390|9|44|33|5|98|.253|0.294|0.400
Ben Williamson|SEA|295|1|36|21|5|64|.253|0.294|0.310
Masyn Winn|STL|537|9|72|51|9|102|.253|0.310|0.363
Rafael Devers|2 Tms|729|35|99|109|1|192|.252|0.372|0.479
Luis García Jr.|WSN|526|16|67|66|14|84|.252|0.289|0.412
Gavin Sheets|SDP|545|19|57|71|2|107|.252|0.317|0.429
Kerry Carpenter|DET|464|26|66|62|1|106|.252|0.291|0.497
Josh Jung|TEX|511|14|53|61|4|129|.251|0.294|0.390
Connor Norby|MIA|337|8|42|34|8|90|.251|0.300|0.389
Freddy Fermin|2 Tms|347|5|32|26|1|65|.251|0.297|0.339
Josh Smith|TEX|563|10|70|35|12|100|.251|0.335|0.366
Trevor Larnach|MIN|567|17|62|60|4|122|.250|0.323|0.404
Nick Castellanos|PHI|589|17|72|72|4|133|.250|0.294|0.400
Ryan Mountcastle|BAL|357|7|34|35|3|98|.250|0.286|0.367
Eric Wagaman|MIA|514|9|56|53|4|100|.250|0.296|0.378
Alek Thomas|ARI|469|9|51|38|7|122|.249|0.289|0.370
Carson Kelly|CHC|421|17|48|50|2|80|.249|0.333|0.428
Joey Bart|PIT|332|4|21|30|1|93|.249|0.355|0.340
Ceddanne Rafaela|BOS|587|16|84|63|20|117|.249|0.295|0.414
Michael Harris II|ATL|641|20|55|86|20|128|.249|0.268|0.409
Lourdes Gurriel Jr.|ARI|546|19|52|80|10|76|.248|0.295|0.418
Evan Carter|TEX|220|5|31|25|14|41|.247|0.336|0.392
Keibert Ruiz|WSN|267|2|19|25|0|26|.247|0.277|0.318
Pete Crow-Armstrong|CHC|647|31|91|95|35|155|.247|0.287|0.481
Liam Hicks|MIA|390|6|37|45|2|56|.247|0.346|0.346
Wilyer Abreu|BOS|417|22|53|69|6|101|.247|0.317|0.469
Cal Raleigh|SEA|705|60|110|125|14|188|.247|0.359|0.589
Teoscar Hernández|LAD|546|25|65|89|5|134|.247|0.284|0.454
Otto Lopez|MIA|594|15|66|77|15|82|.246|0.305|0.368
Jake Cronenworth|SDP|515|11|61|59|3|107|.246|0.367|0.377
Bryan Reynolds|PIT|654|16|68|73|3|173|.245|0.318|0.402
Jurickson Profar|ATL|371|14|56|43|9|59|.245|0.353|0.434
Seiya Suzuki|CHC|651|32|75|103|5|164|.245|0.326|0.478
Tommy Pham|PIT|449|10|44|52|5|94|.245|0.330|0.370
Michael Massey|KCR|277|3|20|20|2|43|.244|0.268|0.313
Wenceel Pérez|DET|383|13|47|43|8|87|.244|0.308|0.430
Dansby Swanson|CHC|645|24|84|77|20|168|.244|0.300|0.417
Addison Barger|TOR|502|21|61|74|4|121|.243|0.301|0.454
Jeff McNeil|NYM|462|12|42|54|3|55|.243|0.335|0.411
Max Muncy|LAD|388|19|48|67|4|83|.243|0.376|0.470
Javier Sanoja|MIA|342|6|40|38|6|41|.243|0.287|0.396
Drew Waters|KCR|219|1|21|14|5|60|.243|0.288|0.316
Ian Happ|CHC|663|23|87|79|6|151|.243|0.342|0.420
Santiago Espinal|CIN|328|0|25|16|2|38|.243|0.292|0.282
Jazz Chisholm Jr.|NYY|531|31|75|80|31|148|.242|0.332|0.481
Jackson Holliday|BAL|649|17|70|55|17|140|.242|0.314|0.375
Ramón Urías|2 Tms|391|11|33|44|3|88|.241|0.292|0.384
Wyatt Langford|TEX|573|22|73|62|22|151|.241|0.344|0.431
Mauricio Dubón|HOU|398|7|43|33|3|42|.241|0.289|0.355
Wilmer Flores|SFG|463|16|44|71|1|88|.241|0.307|0.379
Kyle Higashioka|TEX|327|11|33|47|3|72|.241|0.291|0.403
Jake Fraley|2 Tms|217|6|31|23|4|49|.241|0.332|0.382
Carlos Narváez|BOS|446|15|51|50|1|111|.241|0.306|0.419
Ryan Ritter|COL|207|1|22|18|3|61|.241|0.296|0.337
Andrew Benintendi|CHW|470|20|57|63|1|82|.240|0.307|0.431
Ozzie Albies|ATL|667|16|74|74|14|94|.240|0.306|0.365
Kyle Schwarber|PHI|724|56|111|132|10|197|.240|0.365|0.563
Brooks Baldwin|CHW|328|11|32|38|5|86|.240|0.290|0.407
Spencer Torkelson|DET|649|31|82|78|2|169|.240|0.333|0.456
Abraham Toro|BOS|284|7|33|27|2|42|.239|0.289|0.371
Colson Montgomery|CHW|284|21|43|55|0|83|.239|0.311|0.529
Andrew McCutchen|PIT|551|13|51|57|1|118|.239|0.333|0.367
Alex Verdugo|ATL|213|0|21|12|1|31|.239|0.296|0.289
Randy Arozarena|SEA|709|27|95|76|31|191|.238|0.334|0.426
Daulton Varsho|TOR|271|20|43|55|2|77|.238|0.284|0.548
Spencer Steer|CIN|568|21|66|75|7|129|.238|0.312|0.411
Christian Walker|HOU|640|27|72|88|2|177|.238|0.297|0.421
Jose Trevino|CIN|302|4|30|22|0|39|.238|0.272|0.351
Luis Rengifo|LAA|541|9|55|43|10|104|.238|0.287|0.335
Jesús Sánchez|2 Tms|497|14|61|48|13|110|.237|0.304|0.395
Josh Bell|WSN|533|22|54|63|0|88|.237|0.325|0.417
Casey Schmitt|SFG|348|12|34|40|0|83|.237|0.305|0.401
Nolan Arenado|STL|436|12|48|52|3|49|.237|0.289|0.377
Royce Lewis|MIN|403|13|36|52|12|80|.237|0.283|0.388
Rhys Hoskins|MIL|328|12|30|43|2|91|.237|0.332|0.416
Salvador Perez|KCR|641|30|54|100|0|125|.236|0.284|0.446
Brooks Lee|MIN|527|16|50|64|3|92|.236|0.285|0.370
Jake Burger|TEX|376|16|43|53|1|93|.236|0.269|0.419
Cam Smith|HOU|493|9|55|51|8|137|.236|0.312|0.358
Jo Adell|LAA|573|37|63|98|5|151|.236|0.293|0.485
José Caballero|2 Tms|370|5|52|36|49|98|.236|0.339|0.347
Ke'Bryan Hayes|2 Tms|570|5|50|49|12|111|.235|0.290|0.306
Jake Bauers|MIL|218|7|28|28|8|59|.235|0.353|0.399
Trent Grisham|NYY|581|34|87|74|3|137|.235|0.348|0.464
Dane Myers|MIA|333|6|29|31|18|77|.235|0.291|0.326
Eli White|ATL|271|10|43|35|10|70|.234|0.270|0.406
Miguel Vargas|CHW|569|16|80|60|6|100|.234|0.316|0.401
Davis Schneider|TOR|227|11|33|31|3|60|.234|0.361|0.436
Kyle Manzardo|CLE|531|27|47|70|2|135|.234|0.313|0.455
Nacho Alvarez Jr.|ATL|208|2|18|15|0|49|.234|0.296|0.330
Yoán Moncada|LAA|289|12|39|35|0|75|.234|0.336|0.448
Lars Nootbaar|STL|583|13|68|48|4|119|.234|0.325|0.361
Lawrence Butler|ATH|630|21|83|63|22|179|.234|0.306|0.404
Brady House|WSN|274|4|26|29|5|78|.234|0.252|0.322
Otto Kemp|PHI|218|8|26|28|2|67|.234|0.298|0.411
Mark Vientos|NYM|463|17|44|61|1|115|.233|0.289|0.413
Jonathan India|KCR|567|9|63|45|0|106|.233|0.323|0.346
Curtis Mead|2 Tms|264|3|26|19|5|63|.233|0.299|0.321
Brenton Doyle|COL|538|15|57|57|18|138|.233|0.274|0.376
Mike Yastrzemski|2 Tms|558|17|68|46|7|108|.233|0.333|0.403
Brayan Rocchio|CLE|383|5|34|44|8|77|.233|0.290|0.340
Mike Trout|LAA|556|26|73|64|2|178|.232|0.359|0.439
Marcell Ozuna|ATL|592|21|61|68|0|144|.232|0.355|0.400
Jacob Young|WSN|364|2|34|31|15|65|.231|0.296|0.287
Matt Chapman|SFG|535|21|76|61|9|126|.231|0.340|0.430
Agustín Ramírez|MIA|585|21|72|67|16|113|.231|0.287|0.413
Tyler Stephenson|CIN|342|13|40|50|0|116|.231|0.316|0.421
Blaze Alexander|ARI|266|7|31|28|4|86|.230|0.323|0.383
Luis Urías|ATH|330|8|27|25|2|45|.230|0.315|0.338
Pedro Pagés|STL|389|11|38|45|0|107|.230|0.272|0.363
Marcus Semien|TEX|534|15|62|62|11|93|.230|0.305|0.364
Joey Ortiz|MIL|506|7|62|45|14|74|.230|0.276|0.317
Nick Fortes|2 Tms|242|5|19|21|1|47|.229|0.296|0.349
Jose Iglesias|SDP|343|3|29|36|5|56|.229|0.298|0.294
Rowdy Tellez|2 Tms|312|17|34|49|1|83|.228|0.276|0.443
Taylor Ward|LAA|663|36|86|103|4|175|.228|0.317|0.475
Paul DeJong|WSN|208|6|18|23|4|70|.228|0.269|0.373
Randal Grichuk|2 Tms|293|9|35|27|0|61|.228|0.273|0.401
Eugenio Suárez|2 Tms|657|49|91|118|4|196|.228|0.298|0.526
Nathaniel Lowe|2 Tms|609|18|64|84|1|159|.228|0.307|0.381
Kyle Farmer|COL|300|8|24|31|0|66|.227|0.280|0.365
Adolis García|TEX|547|19|58|75|13|135|.227|0.271|0.394
Jared Triolo|PIT|376|7|41|24|13|76|.227|0.311|0.356
Matt Shaw|CHC|437|13|57|44|17|94|.226|0.295|0.394
Willi Castro|2 Tms|454|11|58|33|10|111|.226|0.313|0.366
Will Benson|CIN|253|12|31|41|2|67|.226|0.273|0.435
Luis Torrens|NYM|283|5|20|29|1|56|.226|0.284|0.345
Tommy Edman|LAD|377|13|49|49|3|61|.225|0.274|0.382
Willy Adames|SFG|686|30|94|87|12|179|.225|0.318|0.421
Ezequiel Duran|TEX|219|0|16|14|11|55|.224|0.266|0.293
Angel Martínez|CLE|484|11|56|45|8|110|.224|0.269|0.359
Robert Hassell III|WSN|206|3|22|18|4|62|.223|0.257|0.315
Kristian Campbell|BOS|263|6|24|21|2|72|.223|0.319|0.345
Tyrone Taylor|NYM|341|2|34|27|12|76|.223|0.279|0.319
Luis Robert Jr.|CHW|431|14|52|53|33|112|.223|0.297|0.364
Patrick Bailey|SFG|452|6|47|55|1|133|.222|0.277|0.325
Nick Allen|ATL|416|0|32|22|8|99|.221|0.284|0.251
Adley Rutschman|BAL|365|9|37|29|0|57|.220|0.307|0.366
Gabriel Arias|CLE|471|11|44|54|8|162|.220|0.274|0.363
Taylor Walls|TBR|317|4|36|38|14|70|.220|0.280|0.319
Edouard Julien|MIN|208|3|13|12|0|61|.220|0.309|0.324
Josh Lowe|TBR|435|11|56|40|18|109|.220|0.283|0.366
Matt McLain|CIN|577|15|73|50|18|167|.220|0.300|0.343
Austin Wells|NYY|448|21|51|71|5|118|.219|0.275|0.436
Christopher Morel|TBR|305|11|37|33|7|109|.219|0.289|0.396
Carlos Santana|2 Tms|474|11|49|54|7|91|.219|0.308|0.325
Alexander Canario|PIT|234|6|25|20|3|80|.218|0.274|0.338
Coby Mayo|BAL|294|11|30|28|3|84|.217|0.299|0.388
Tyler Fitzgerald|SFG|243|4|19|14|9|70|.217|0.278|0.327
Cedric Mullins|2 Tms|498|17|58|59|22|120|.216|0.299|0.391
Victor Scott II|STL|463|5|54|37|34|111|.216|0.305|0.296
Max Kepler|PHI|474|18|58|52|3|93|.216|0.300|0.391
Danny Jansen|2 Tms|337|14|38|36|0|86|.215|0.321|0.399
Jorge Soler|LAA|315|12|31|34|0|94|.215|0.293|0.387
Jordan Walker|STL|396|6|40|41|10|126|.215|0.278|0.306
Parker Meadows|DET|213|4|22|16|4|56|.215|0.291|0.330
Ryan McMahon|2 Tms|586|20|62|53|3|189|.214|0.312|0.381
Kameron Misner|TBR|217|5|27|22|8|69|.213|0.273|0.345
Logan O'Hoppe|LAA|451|19|35|43|2|139|.213|0.258|0.371
Jonah Heim|TEX|433|11|38|43|3|88|.213|0.271|0.332
Kody Clemens|2 Tms|386|19|46|52|5|93|.213|0.281|0.434
JJ Bleday|ATH|344|14|48|39|1|91|.212|0.294|0.404
Anthony Volpe|NYY|596|19|65|72|18|150|.212|0.272|0.391
Nolan Jones|CLE|403|5|34|34|8|113|.211|0.296|0.304
Cole Young|SEA|257|4|24|24|1|47|.211|0.302|0.305
Andrés Giménez|TOR|369|7|39|35|12|66|.210|0.285|0.313
Mitch Garver|SEA|290|9|29|30|3|80|.209|0.297|0.343
Dylan Crews|WSN|322|10|43|27|17|76|.208|0.280|0.352
Daniel Schneemann|CLE|422|12|48|41|9|117|.206|0.283|0.354
Nolan Gorman|STL|402|14|48|46|1|136|.205|0.296|0.370
Elias Díaz|SDP|283|9|34|29|0|74|.204|0.270|0.337
Jake McCarthy|ARI|222|4|18|20|6|40|.204|0.247|0.345
Dylan Carlson|BAL|241|6|17|20|3|54|.203|0.278|0.336
Enrique Hernández|LAD|256|10|30|35|0|68|.203|0.255|0.366
Matt Wallner|MIN|392|22|47|40|4|114|.202|0.311|0.464
Luke Raley|SEA|219|4|23|19|2|64|.202|0.319|0.311
Orlando Arcia|2 Tms|214|3|13|13|0|47|.202|0.238|0.291
Tim Tawa|ARI|225|7|29|18|8|64|.201|0.274|0.347
Dylan Moore|2 Tms|243|11|35|25|14|82|.201|0.267|0.374
Michael A. Taylor|CHW|325|9|33|35|8|110|.200|0.259|0.366
Oneil Cruz|PIT|544|20|62|61|38|174|.200|0.298|0.378
Sean Murphy|ATL|337|16|34|45|0|105|.199|0.300|0.409
Tyler O'Neill|BAL|209|9|22|26|4|51|.199|0.292|0.392
Michael Conforto|LAD|486|12|54|36|1|121|.199|0.305|0.333
Travis d'Arnaud|LAA|231|6|16|21|0|74|.197|0.255|0.343
Max Schuemann|ATH|213|2|20|13|7|35|.197|0.295|0.273
Trey Sweeney|DET|326|6|36|32|3|92|.196|0.258|0.291
Colton Cowser|BAL|360|16|36|40|14|128|.196|0.269|0.385
Bo Naylor|CLE|414|14|46|47|1|99|.195|0.282|0.379
Michael Toglia|COL|337|11|22|32|3|132|.190|0.258|0.353
Christian Vázquez|MIN|214|3|14|14|1|35|.189|0.271|0.274
Jose Herrera|ARI|204|2|21|17|0|47|.187|0.285|0.259
Riley Adams|WSN|286|8|29|24|1|110|.186|0.252|0.308
Joc Pederson|TEX|306|9|28|26|2|65|.181|0.285|0.328
Josh Rojas|CHW|211|2|14|11|4|48|.180|0.252|0.259
Anthony Santander|TOR|221|6|16|18|0|61|.175|0.271|0.294
LaMonte Wade Jr.|2 Tms|242|2|19|18|1|58|.167|0.271|0.254
Henry Davis|PIT|283|7|25|22|2|76|.167|0.234|0.278
Oswald Peraza|2 Tms|265|5|24|20|9|80|.164|0.223|0.250
Jac Caglianone|KCR|232|7|19|18|1|52|.157|0.237|0.295
