name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Devin Williams|NYM|RP|640|5|32|3|312|1135|85|6|0|0|64|13
Abner Uribe|MIL|RP|720|4|19|7|312|1206|87|6|0|0|72|13
Garrett Whitlock|BOS|RP|700|5|3|14|332|1150|79|7|0|0|70|13
Landen Roupp|SFG|SP|1260|7|0|1|395|1341|118|13|11|23|31|13
Andre Pallante|STL|SP|1330|8|0|0|425|1421|93|13|12|24|24|13
Tyler Mahle|SFG|SP|1370|8|0|0|405|1288|113|18|13|26|26|13
Kodai Senga|NYM|SP|1190|7|0|1|385|1324|119|14|9|19|35|13
Parker Messick|CLE|SP|1210|7|0|0|403|1307|111|16|12|23|23|13
Pete Fairbanks|MIA|RP|620|4|27|4|338|1204|65|6|0|0|62|13
Andrés Muñoz|SEA|RP|640|4|28|3|286|1115|82|5|0|0|64|13
Slade Cecconi|CLE|SP|1550|8|0|0|445|1273|130|25|13|28|28|12
Dean Kremer|BAL|SP|1350|8|0|1|438|1311|115|20|9|21|38|12
Jose Quintana|COL|SP|1440|8|0|0|486|1486|102|20|11|26|26|12
José Alvarado|PHI|RP|640|5|3|12|330|1243|75|6|0|0|64|12
Adrian Houser|SFG|SP|1470|8|0|0|423|1380|105|16|13|26|26|12
