name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Ryan Weathers|NYY|SP|1180|7|0|1|414|1289|111|15|8|19|37|12
Will Vest|DET|RP|680|4|5|12|330|1191|69|6|0|0|68|12
Cristian Javier|HOU|SP|1480|8|0|0|467|1354|138|24|12|28|28|12
Bryce Elder|ATL|SP|1240|7|0|1|444|1357|103|15|9|21|27|12
Trevor Megill|MIL|RP|660|5|11|9|328|1170|82|7|0|0|66|12
Kumar Rocker|TEX|RP|1020|6|0|1|419|1296|91|13|7|16|38|11
Logan Henderson|MIL|RP|910|6|0|1|415|1221|91|14|6|15|31|11
Luis Morales|ATH|SP|1190|7|0|1|446|1353|105|17|8|19|33|11
Sean Burke|CHW|SP|1410|7|0|0|474|1411|132|22|12|26|26|11
Robby Snelling|MIA|SP|860|5|0|0|403|1335|74|10|8|16|16|11
Ryan Helsley|BAL|RP|640|4|26|3|338|1201|75|7|0|0|64|11
Rhett Lowder|CIN|SP|1190|6|0|1|465|1353|91|17|9|21|31|11
Adrian Morejon|SDP|RP|680|6|3|13|339|1201|69|6|0|0|68|11
Grant Holmes|ATL|SP|1290|8|0|1|419|1354|122|17|9|19|35|11
Tanner Scott|LAD|RP|630|4|4|15|347|1215|72|7|0|0|63|11
Logan Allen|CLE|SP|1210|7|0|1|430|1395|100|17|10|21|29|11
Jeremiah Estrada|SDP|RP|700|5|0|15|329|1154|95|8|0|0|70|11
Michael Lorenzen|COL|SP|1430|7|0|0|508|1449|114|24|11|26|26|11
Max Scherzer|TOR|RP|1050|6|0|1|422|1208|104|18|7|16|36|11
Johan Oviedo|BOS|RP|1030|6|0|1|428|1345|99|13|6|15|43|11
Jeff Hoffman|TOR|RP|630|5|26|4|339|1154|76|8|0|0|63|10
Hunter Harvey|CHC|RP|520|4|5|13|309|1103|58|5|0|0|52|10
Matt Brash|SEA|RP|630|4|3|12|310|1209|76|5|0|0|63|10
Lance McCullers Jr.|HOU|SP|1080|6|0|1|439|1426|104|14|8|19|32|10
José Berríos|TOR|RP|1420|8|0|1|440|1314|118|22|8|19|51|10
Lucas Giolito||SP|1250|6|0|0|468|1386|112|20|10|23|23|10
Chris Paddack|MIA|SP|1380|6|0|1|483|1324|106|24|9|23|39|10
Matt Strahm|KCR|RP|660|4|1|17|350|1145|72|8|0|0|66|10
Kyle Harrison|MIL|SP|1040|5|0|1|427|1328|103|14|8|18|32|10
Miles Mikolas|WSN|SP|1390|7|0|0|477|1336|92|23|11|26|26|10
Kyle Leahy|STL|RP|1230|6|0|1|416|1349|102|14|6|15|53|10
Mick Abel|MIN|SP|1290|7|0|1|455|1438|115|16|10|23|35|10
Ian Seymour|TBR|RP|1040|6|0|1|417|1225|99|15|5|13|43|9
Patrick Sandoval|BOS|RP|940|6|0|1|397|1381|87|9|4|10|52|9
Robert Garcia|TEX|RP|640|5|20|6|354|1215|70|7|0|0|64|9
Robert Suarez|ATL|RP|670|5|8|11|356|1193|70|7|0|0|67|9
Garrett Cleavinger|TBR|RP|660|5|8|13|326|1135|83|8|0|0|66|9
Camilo Doval|NYY|RP|640|4|2|14|352|1273|74|5|0|0|64|9
Fernando Cruz|NYY|RP|610|4|1|16|339|1236|82|7|0|0|61|9
Ryan Walker|SFG|RP|630|5|24|6|327|1182|68|5|0|0|63|9
Raisel Iglesias|ATL|RP|660|5|26|4|361|1151|71|8|0|0|66|8
Jacob Latz|TEX|RP|1110|4|0|1|441|1391|107|14|4|11|51|8
Edwin Uceta|TBR|RP|620|4|12|10|366|1184|74|8|0|0|62|8
Emilio Pagán|CIN|RP|660|3|27|4|404|1193|71|10|0|0|66|8
Chris Martin|TEX|RP|540|4|4|12|338|1155|53|6|0|0|54|8
Cole Sands|MIN|RP|680|4|3|13|392|1230|67|8|0|0|68|8
Alex Vesia|LAD|RP|610|4|1|18|355|1185|77|8|0|0|61|8
Dennis Santana|PIT|RP|680|4|26|5|372|1247|63|7|0|0|68|8
Jose A. Ferrer|SEA|RP|700|4|3|16|327|1194|67|5|0|0|70|8
Tomoyuki Sugano|COL|SP|1160|6|0|0|517|1426|74|21|8|21|21|8
Kevin Ginkel|ARI|RP|620|4|12|11|361|1279|64|6|0|0|62|8
Brandon Sproat|MIL|RP|810|4|0|1|419|1328|70|10|5|11|33|8
Lucas Erceg|KCR|RP|620|4|2|13|371|1289|61|5|0|0|62|8
J.T. Ginn|ATH|RP|760|4|0|1|417|1309|72|10|4|10|36|8
Michael Soroka|ARI|RP|1010|6|2|1|408|1265|101|12|5|11|52|8
Seranthony Domínguez|CHW|RP|630|4|20|6|392|1309|71|8|0|0|63|8
Orion Kerkering|PHI|RP|630|5|1|13|349|1213|70|6|0|0|63|8
Ryan Feltner|COL|RP|1010|5|0|1|515|1487|84|15|5|16|34|8
Robert Gasser|MIL|RP|760|4|0|1|406|1257|70|10|4|10|36|7
Joe Boyle|TBR|RP|750|4|0|1|406|1378|84|8|5|11|29|7
Hunter Barco|PIT|RP|890|4|0|1|415|1370|82|11|4|11|45|7
Daniel Palencia|CHC|RP|670|5|30|4|368|1235|75|7|0|0|67|7
Robert Stephenson|LAA|RP|600|2|13|9|409|1223|67|8|0|0|60|7
Andrew Painter|PHI|SP|1040|5|0|1|473|1392|90|17|7|18|31|7
Chase Dollander|COL|SP|1140|5|0|0|527|1486|98|18|9|23|23|7
Richard Fitts|STL|SP|1280|7|0|1|442|1332|96|18|10|23|36|7
Graham Ashcraft|CIN|RP|650|5|2|16|388|1285|59|6|0|0|65|7
Ryan Weiss|HOU|RP|930|5|0|1|423|1319|91|12|4|10|47|7
Jared Koenig|MIL|RP|650|4|1|15|356|1232|66|7|0|0|65|7
Drew Anderson|DET|RP|820|5|0|9|395|1263|91|10|2|5|60|7
Drew Pomeranz|LAA|RP|580|3|3|11|393|1236|61|7|0|0|58|7
Louis Varland|TOR|RP|670|4|2|13|351|1178|66|8|0|0|67|7
Patrick Corbin||SP|870|5|0|0|486|1424|70|13|7|16|16|7
Jonathan Cannon|CHW|RP|1060|5|0|1|481|1398|80|16|5|15|41|7
Randy Vásquez|SDP|SP|1370|7|0|1|479|1400|94|20|9|24|36|7
Brad Lord|WSN|RP|1030|5|0|1|436|1338|80|13|4|11|53|7
Luis Gil|NYY|RP|990|5|0|1|440|1341|101|14|4|11|51|7
Germán Márquez|SDP|SP|1290|7|0|1|499|1432|96|20|9|23|34|6
Janson Junk|MIA|RP|860|5|0|1|433|1267|63|11|3|8|48|6
Dylan Lee|ATL|RP|650|3|1|16|354|1173|73|9|0|0|65|6
Corbin Burnes|ARI|SP|390|3|0|0|351|1214|37|4|4|6|6|6
Gregory Soto|PIT|RP|610|3|4|14|369|1298|66|5|0|0|61|6
Jordan Leasure|CHW|RP|640|4|5|10|416|1301|73|9|0|0|64|6
Gage Jump|ATH|SP|490|3|0|0|431|1327|43|7|5|10|10|6
David Festa|MIN|RP|490|3|0|1|409|1279|50|6|3|6|22|6
Mark Leiter Jr.|ATH|RP|640|5|6|13|399|1311|69|8|0|0|64|6
Aaron Ashby|MIL|RP|850|5|1|13|379|1385|88|7|1|3|70|6
Erick Fedde|CHW|SP|1090|6|0|1|495|1430|83|18|7|18|28|6
Jake Irvin|WSN|SP|1230|6|0|1|482|1365|93|20|7|19|34|6
Hurston Waldrep|ATL|SP|610|4|0|0|429|1410|55|7|5|11|11|6
Griffin Canning|SDP|SP|1080|6|0|1|453|1364|96|17|7|18|32|6
Bryan Baker|TBR|RP|630|4|3|12|380|1209|70|8|0|0|63|6
JoJo Romero|STL|RP|640|5|12|9|349|1294|62|6|0|0|64|6
Cody Bradford|TEX|RP|710|4|0|1|436|1226|61|11|3|8|36|5
Hunter Dobbins|STL|RP|870|5|0|1|446|1363|62|11|5|13|31|5
Blake Treinen|LAD|RP|580|5|1|14|394|1282|65|7|0|0|58|5
A.J. Minter|NYM|RP|520|4|2|14|342|1178|58|6|0|0|52|5
Stephen Kolek|KCR|RP|720|4|0|1|425|1359|51|7|3|8|36|5
Alek Manoah|LAA|SP|690|3|0|0|475|1387|58|10|6|13|13|5
Jimmy Herget|COL|RP|770|3|2|15|457|1338|70|11|0|0|77|5
Spencer Arrighetti|HOU|RP|860|5|0|1|445|1365|86|13|5|13|29|5
Carlos Estévez|KCR|RP|650|4|31|2|417|1275|58|8|0|0|65|5
Andrew Kittredge|BAL|RP|600|4|3|12|373|1224|59|8|0|0|60|5
Connelly Early|BOS|RP|380|3|0|1|385|1282|38|4|2|5|17|5
Jason Adam|SDP|RP|600|4|1|15|352|1187|63|6|0|0|60|5
Bryan King|HOU|RP|670|4|1|17|367|1208|67|9|0|0|67|5
Caleb Thielbar|CHC|RP|660|5|1|15|363|1214|69|9|0|0|66|5
Carmen Mlodzinski|PIT|RP|680|4|0|4|373|1295|60|7|1|3|53|5
Tony Santillan|CIN|RP|700|3|4|13|427|1339|73|9|0|0|70|5
George Klassen|LAA|RP|630|3|0|1|456|1402|57|9|4|10|24|5
Sean Newcomb|CHW|RP|690|3|2|10|393|1339|66|7|1|2|62|5
Jon Gray||SP|350|2|0|0|446|1309|30|5|3|6|6|5
Kutter Crawford|BOS|RP|860|5|0|7|431|1241|81|13|2|6|56|5
Tyler Anderson|LAA|SP|1000|5|0|0|487|1430|77|16|8|18|18|5
Yimi García|TOR|RP|560|3|4|11|382|1216|61|7|0|0|56|5
Justin Wilson||RP|430|2|0|0|362|1304|47|5|0|0|43|5
Steven Okert|HOU|RP|640|3|0|14|385|1198|73|9|0|0|64|4
Kirby Yates|LAA|RP|560|3|4|12|392|1285|67|7|0|0|56|4
Brooks Raley|NYM|RP|620|3|1|14|380|1232|61|6|0|0|62|4
Luke Weaver|NYM|RP|670|4|4|14|400|1239|73|9|0|0|67|4
Colin Rea|CHC|RP|820|4|0|1|437|1293|65|12|3|8|44|4
