name|team|pa|hr|r|rbi|sb|so|avg|obp|slg
Brandon Lockridge|MIL|5|0|2|1|0|1|0.25|0.4|0.25
Will Benson|CIN|5|0|0|0|0|2|0.25|0.4|0.25
Daulton Varsho|TOR|10|0|1|1|0|1|0.25|0.4|0.25
Alejandro Kirk|TOR|10|1|2|1|0|1|0.111|0.2|0.444
Freddie Freeman|LAD|13|0|0|1|0|0|0.25|0.308|0.333
Trevor Story|BOS|11|1|1|2|0|5|0.182|0.182|0.455
Mauricio Dubon|ATL|7|0|0|2|0|2|0.167|0.286|0.333
Jo Adell|LAA|14|0|2|0|0|2|0.25|0.357|0.25
Logan O'Hoppe|LAA|12|0|1|0|0|5|0.273|0.333|0.273
Jake Cronenworth|SDP|12|0|2|0|0|3|0.273|0.333|0.273
Paul Goldschmidt|NYY|5|0|1|0|0|0|0.2|0.2|0.4
Edouard Julien|COL|5|0|0|0|0|2|0.2|0.2|0.4
Brice Matthews|HOU|5|0|0|0|0|4|0.2|0.2|0.4
Shohei Ohtani|LAD|13|0|2|0|0|1|0.125|0.462|0.125
Jose Altuve|HOU|13|0|1|0|1|3|0.2|0.385|0.2
Brandon Nimmo|TEX|9|0|2|0|1|2|0.25|0.333|0.25
Daylen Lile|WSN|9|0|1|1|0|2|0.25|0.333|0.25
Xander Bogaerts|SDP|12|0|0|1|0|0|0.25|0.25|0.333
Rafael Devers|SFG|12|0|0|0|0|4|0.25|0.25|0.333
Kyle Tucker|LAD|13|0|3|2|2|4|0.182|0.308|0.273
Steven Kwan|CLE|14|0|1|1|0|2|0.286|0.286|0.286
Kyle Schwarber|PHI|9|1|1|2|0|5|0.111|0.111|0.444
Pavin Smith|ARI|8|0|1|1|0|2|0.167|0.375|0.167
Maikel Garcia|KCR|8|0|1|0|1|1|0.167|0.375|0.167
Parker Meadows|DET|6|0|0|2|1|2|0.2|0.333|0.2
Jackson Merrill|SDP|12|0|1|1|0|3|0.182|0.25|0.273
Jonah Heim|ATL|4|0|1|0|0|0|0.0|0.5|0.0
Andrew Benintendi|CHW|4|0|0|0|0|2|0.25|0.25|0.25
Zach McKinstry|DET|4|0|0|0|0|1|0.25|0.25|0.25
Keibert Ruiz|WSN|4|0|1|0|0|1|0.25|0.25|0.25
Nolan Gorman|STL|8|0|1|3|0|2|0.25|0.25|0.25
Xavier Edwards|MIA|8|0|2|0|0|0|0.25|0.25|0.25
Gabriel Moreno|ARI|8|0|1|0|0|1|0.25|0.25|0.25
Jose Caballero|NYY|12|0|1|1|1|3|0.25|0.25|0.25
CJ Abrams|WSN|4|0|0|2|0|1|0.25|0.25|0.25
Pedro Pages|STL|4|0|1|0|0|0|0.25|0.25|0.25
Andrew Vaughn|MIL|4|0|0|1|0|0|0.25|0.25|0.25
Graham Pauley|MIA|4|0|0|0|0|2|0.25|0.25|0.25
Jared Triolo|PIT|10|0|1|0|0|1|0.2|0.2|0.3
Daniel Schneemann|CLE|6|0|1|0|0|1|0.167|0.167|0.333
Angel Martinez|CLE|6|0|0|0|0|3|0.167|0.167|0.333
Austin Wells|NYY|11|0|1|0|0|3|0.2|0.273|0.2
Freddy Fermin|SDP|7|0|1|0|0|2|0.167|0.286|0.167
