name|team|ip|w|sv|hld|era|whip|so|hr|qs
Isaac Mattson|PIT|10.7|0|0|4|1.69|1.59|9|0|0
Aaron Civale|ATH|15.7|2|0|0|1.72|0.96|12|2|0
Jacob Latz|TEX|10.3|0|0|2|1.74|0.58|10|1|0
Keider Montero|DET|10.3|1|0|0|1.74|0.68|10|0|1
Jovani Morán|BOS|10.3|0|0|0|1.74|0.87|12|1|0
Foster Griffin|WSH|15.3|2|0|0|1.76|1.11|12|2|0
Andrew Nardi|MIA|5.0|1|0|2|1.8|1.0|7|0|0
Max Fried|NYY|28.0|2|0|0|1.93|0.75|20|0|4
Brent Headrick|NYY|9.3|1|0|0|1.93|1.71|12|0|0
Paxton Schultz|WSH|4.7|0|0|0|1.93|1.07|6|1|0
Eduardo Rodriguez|ARI|23.0|1|0|0|1.96|1.22|14|2|2
Graham Ashcraft|CIN|9.0|0|0|5|2.0|1.0|13|0|0
Jimmy Herget|COL|9.0|0|1|1|2.0|0.78|6|0|0
Erik Sabrowski|CLE|9.0|0|0|7|2.0|0.78|14|1|0
Cristopher Sánchez|PHI|22.3|2|0|0|2.01|1.39|31|1|2
Emerson Hancock|SEA|17.7|2|0|0|2.04|0.74|19|1|2
Shawn Armstrong|CLE|8.7|1|0|3|2.08|1.5|12|2|0
Mitch Farris|LAA|4.3|0|0|0|2.08|1.62|3|1|0
Sam Moll|CIN|8.7|1|0|1|2.08|0.69|7|0|0
Justin Sterner|ATH|8.7|0|0|5|2.08|1.62|9|1|0
Brent Suter|LAA|13.0|0|0|0|2.08|1.08|13|1|0
Yoshinobu Yamamoto|LAD|25.7|2|0|0|2.1|0.82|21|3|4
Braxton Ashcraft|PIT|17.0|1|0|0|2.12|1.0|20|0|2
Justin Wrobleski|LAD|17.0|2|0|0|2.12|0.76|6|0|1
Nick Martinez|TBR|16.7|0|0|0|2.16|0.96|11|3|2
Hoby Milner|CHC|8.3|0|0|1|2.16|0.84|1|1|0
Tomoyuki Sugano|COL|16.7|1|0|0|2.16|0.78|12|4|2
Bryan Woo|SEA|25.0|0|0|0|2.16|0.92|20|0|3
Reynaldo López|ATL|20.7|1|0|0|2.18|1.11|19|3|1
Cade Povich|BAL|12.3|1|0|0|2.19|0.97|7|1|1
Tarik Skubal|DET|24.3|2|0|0|2.22|0.95|23|1|3
Garrett Acton|MIN|4.0|1|0|0|2.25|0.75|5|0|0
Danny Coulombe|BOS|4.0|0|0|1|2.25|1.5|2|1|0
Cooper Criswell|SEA|8.0|0|1|0|2.25|1.13|8|2|0
Didier Fuentes|ATL|4.0|0|0|0|2.25|0.75|4|0|0
Sean Manaea|NYM|12.0|0|0|0|2.25|1.33|10|1|0
George Soriano|STL|8.0|1|0|1|2.25|0.88|5|0|0
Nolan McLean|NYM|23.7|1|0|0|2.28|0.76|28|1|2
Kyle Freeland|COL|15.7|1|0|0|2.3|1.09|13|1|1
Gavin Williams|CLE|22.7|2|0|0|2.38|1.15|29|3|1
Connelly Early|BOS|18.7|0|0|0|2.41|1.34|20|1|0
Kevin Gausman|TOR|22.3|0|0|0|2.42|0.85|31|2|2
Robbie Ray|SFG|22.3|2|0|0|2.42|1.03|24|4|1
Dylan Cease|TOR|14.7|0|0|0|2.45|1.43|26|0|0
Zach Eflin|BAL|3.7|0|0|0|2.45|1.64|7|1|0
Ryan Helsley|BAL|7.3|0|5|0|2.45|1.5|11|0|0
Cade Horton|CHC|7.3|1|0|0|2.45|0.82|4|1|1
Kenley Jansen|DET|3.7|0|3|0|2.45|0.82|6|1|0
Anthony Kay|CHW|14.7|1|0|0|2.45|1.16|11|2|0
Wandy Peralta|SDP|7.3|0|0|1|2.45|1.5|6|1|0
Paul Sewald|ARI|7.3|0|6|0|2.45|0.55|10|2|0
Will Warren|NYY|18.3|1|0|0|2.45|1.25|20|2|0
Michael McGreevy|STL|21.7|1|0|0|2.49|0.83|12|3|2
Cam Schlittler|NYY|21.7|2|0|0|2.49|0.74|30|0|1
Kris Bubic|KCR|18.0|2|0|0|2.5|0.83|23|2|2
Davis Martin|CHW|18.0|2|0|0|2.5|1.11|15|2|2
Carmen Mlodzinski|PIT|14.3|0|0|0|2.51|1.6|15|0|0
Hogan Harris|ATH|10.7|0|1|4|2.53|1.78|10|0|0
Jose A. Ferrer|SEA|7.0|0|0|1|2.57|1.29|6|0|0
Victor Vodnik|COL|7.0|0|1|0|2.57|1.57|5|1|0
Joey Cantillo|CLE|20.7|1|0|0|2.61|1.21|24|2|1
Connor Phillips|CIN|10.3|1|1|1|2.61|1.45|10|1|0
Sandy Alcantara|MIA|30.3|2|0|0|2.67|0.86|22|3|3
Connor Brogdon|CLE|6.7|2|1|2|2.7|0.6|6|1|0
Lucas Erceg|KCR|6.7|0|5|1|2.7|1.05|4|0|0
Kody Funderburk|MIN|6.7|1|1|3|2.7|1.95|6|1|0
Bryan Hudson|CHW|6.7|0|0|1|2.7|1.5|8|0|0
Nick Mears|KCR|6.7|1|0|1|2.7|1.2|6|0|0
Michael King|SDP|22.7|2|0|0|2.78|1.15|20|1|2
Kai-Wei Teng|HOU|9.7|1|0|1|2.79|0.93|11|2|0
Shota Imanaga|CHC|16.0|0|0|0|2.81|0.81|20|1|1
Jack Dreyer|LAD|6.3|1|0|2|2.84|1.11|7|0|0
Chase Silseth|LAA|6.3|0|0|3|2.84|1.58|8|1|0
Mitch Keller|PIT|22.0|1|0|0|2.86|1.23|14|1|3
Michael Soroka|ARI|15.7|3|0|0|2.87|1.21|23|1|0
Jacob deGrom|TEX|15.7|1|0|0|2.87|0.96|22|3|1
Ron Marinaccio|SDP|9.3|0|0|0|2.89|0.75|8|1|0
Jack Anderson|BOS|3.0|0|0|0|3.0|0.67|4|1|0
Lake Bachar|MIA|9.0|0|0|1|3.0|1.0|14|0|0
Paul Blackburn|NYY|6.0|1|0|0|3.0|2.0|4|0|0
MacKenzie Gore|TEX|21.0|2|0|0|3.0|1.1|30|2|1
Brant Hurter|DET|6.0|1|0|1|3.0|1.33|4|1|0
Tim Mayza|PHI|9.0|0|0|1|3.0|0.67|10|0|0
Andrew Morris|MIN|3.0|0|0|1|3.0|2.0|2|0|0
Andrés Muñoz|SEA|6.0|2|1|0|3.0|1.33|9|1|0
Gabe Speier|SEA|6.0|0|1|1|3.0|1.0|6|0|0
Caleb Thielbar|CHC|6.0|1|0|1|3.0|1.33|8|1|0
Blade Tidwell|SFG|6.0|0|1|1|3.0|1.0|5|1|0
Garrett Whitlock|BOS|6.0|0|0|3|3.0|1.33|9|1|0
Trevor Rogers|BAL|23.7|2|0|0|3.04|1.27|20|1|3
Kyle Harrison|MIL|14.7|1|0|0|3.07|1.09|15|2|0
Martín Pérez|ATL|14.3|0|0|0|3.14|0.91|6|1|0
Carter Baumler|TEX|5.7|0|0|0|3.18|1.76|6|1|0
Seranthony Domínguez|CHW|5.7|1|3|0|3.18|1.41|7|1|0
Jose Franco|CIN|5.7|0|0|1|3.18|2.12|4|0|0
Clayton Beeter|WSH|8.3|0|2|2|3.24|1.08|6|2|0
JT Brubaker|SFG|8.3|0|0|0|3.24|1.8|6|1|0
Jack Kochanowicz|LAA|16.7|2|0|0|3.24|1.26|12|0|1
Landen Roupp|SFG|16.7|2|0|0|3.24|1.14|18|0|2
George Kirby|SEA|27.7|2|0|0|3.25|0.94|22|3|3
J.T. Ginn|ATH|11.0|0|0|0|3.27|0.91|8|1|0
Tobias Myers|NYM|11.0|0|0|2|3.27|0.64|7|1|0
Chris Sale|ATL|22.0|3|0|0|3.27|1.05|22|4|3
Chase Burns|CIN|16.3|1|0|0|3.31|1.29|18|3|1
