name|team|ip|w|sv|hld|era|whip|so|hr|qs
Shaun Anderson|LAA|10.3|1|0|0|6.97|1.55|7|3|0
Yoendrys Gómez|TBR|10.3|0|0|0|6.97|1.65|6|5|0
Dustin May|STL|19.3|1|0|0|6.98|1.6|15|2|2
Jake Irvin|WSH|14.0|1|0|0|7.07|1.5|16|3|0
Kodai Senga|NYM|14.0|0|0|0|7.07|1.71|19|2|1
Luis García|NYM|6.3|0|0|0|7.11|2.05|4|0|0
Chris Martin|TEX|6.3|1|0|1|7.11|1.74|7|1|0
Erik Miller|SFG|5.0|0|0|0|7.2|2.0|7|0|0
Tatsuya Imai|HOU|8.7|1|0|0|7.27|2.08|13|0|0
Ryan Feltner|COL|12.3|1|0|0|7.3|1.7|9|3|0
Camilo Doval|NYY|7.3|0|0|1|7.36|1.23|7|1|0
Taijuan Walker|PHI|14.7|1|0|0|7.36|1.91|12|4|0
Ryan Weiss|HOU|11.0|0|0|0|7.36|2.09|15|3|0
Jacob Lopez|ATH|13.3|1|0|0|7.43|2.18|11|3|0
Yusei Kikuchi|LAA|18.0|0|0|0|7.5|1.89|19|3|0
Garrett Crochet|BOS|19.0|2|0|0|7.58|1.58|22|3|2
Valente Bellozo|COL|10.7|0|0|0|7.59|1.59|8|5|0
Jake Bird|NYY|7.0|1|0|1|7.71|1.43|9|1|0
Garrett Cleavinger|TBR|2.3|1|0|2|7.71|3.0|3|0|0
J.P. France|HOU|4.7|0|0|0|7.71|1.93|3|0|0
Joey Lucchesi|LAA|2.3|0|0|1|7.71|3.43|2|0|0
Eric Lauer|TOR|12.7|1|0|0|7.82|1.58|12|3|0
Kevin Kelly|TBR|5.7|1|2|2|7.94|1.06|5|0|0
Javier Assad|CHC|10.0|1|0|0|8.1|1.6|6|2|0
Matt Festa|CLE|6.7|0|1|0|8.1|1.5|5|2|0
Michael Lorenzen|COL|16.7|1|0|0|8.1|2.22|13|4|0
Ian Seymour|TBR|6.7|0|0|3|8.1|1.2|8|0|0
Luke Weaver|NYM|6.7|1|0|1|8.1|1.35|4|1|0
Cionel Pérez|WSH|7.7|1|0|3|8.22|1.83|5|2|0
Ryan Borucki|SFG|5.3|0|0|0|8.44|2.06|5|2|0
Griffin Jax|TBR|5.3|0|0|2|8.44|2.06|4|1|0
José Urquidy|PIT|6.3|0|1|0|8.53|2.68|6|1|0
Ryne Stanek|STL|7.3|1|1|3|8.59|2.18|9|1|0
José Suarez|ATL|8.3|0|0|0|8.64|2.28|11|0|0
Luinder Avila|KCR|6.0|0|0|0|9.0|3.0|6|1|0
Kyle Backhus|PHI|3.0|0|0|0|9.0|1.67|4|1|0
Charlie Barnes|CHC|3.0|0|0|0|9.0|2.33|1|0|0
Chris Bassitt|BAL|11.0|0|0|0|9.0|2.36|5|1|0
Patrick Corbin|TOR|4.0|0|0|0|9.0|1.75|3|2|0
Hunter Gaddis|CLE|1.0|0|0|0|9.0|3.0|1|0|0
Logan Henderson|MIL|2.0|0|0|0|9.0|2.0|3|0|0
Jayden Murray|HOU|2.0|0|0|0|9.0|2.5|3|0|0
Jack Perkins|ATH|4.0|1|0|0|9.0|2.25|7|0|0
Miguel Rojas|LAD|1.0|0|0|0|9.0|2.0|0|0|0
Joey Wiemer|WSH|1.0|0|0|0|9.0|3.0|0|0|0
AJ Blubaugh|HOU|10.7|2|0|1|9.28|1.69|8|3|0
Mason Englert|TBR|8.7|0|1|0|9.35|2.08|6|3|0
Anthony Banda|MIN|7.7|1|0|1|9.39|1.57|7|1|0
Adrian Morejon|SDP|7.7|1|0|2|9.39|2.09|6|0|0
Max Scherzer|TOR|10.3|1|0|0|9.58|1.45|9|4|1
Ben Casparius|LAD|4.7|0|0|0|9.64|2.14|4|1|0
Colton Gordon|HOU|3.7|0|0|0|9.82|2.18|5|2|0
Justin Lawrence|PIT|7.3|0|0|2|9.82|1.91|12|3|0
Johan Oviedo|BOS|3.7|0|0|0|9.82|1.91|3|2|0
Taylor Rashi|ARI|3.7|1|0|0|9.82|1.09|4|1|0
Shane Drohan|MIL|2.7|0|0|0|10.13|2.63|2|0|0
Kyle Nicolas|CIN|2.7|0|0|0|10.13|3.0|1|1|0
Kolby Allard|CLE|8.7|0|0|0|10.38|2.19|9|2|0
Brandon Sproat|MIL|10.3|0|0|0|10.45|2.32|10|4|0
Chris Murphy|CHW|6.0|1|1|0|10.5|2.33|6|1|0
Pete Fairbanks|MIA|5.0|0|2|0|10.8|1.6|7|1|0
Shane Smith|CHW|8.3|0|0|0|10.8|2.52|11|1|0
Miles Mikolas|WSH|15.7|0|0|0|11.49|2.17|11|6|0
George Klassen|LAA|4.7|0|0|0|11.57|3.64|6|1|0
Josh Fleming|TOR|3.0|0|0|0|12.0|2.67|1|1|0
Luis Morales|ATH|7.3|0|0|0|12.27|2.86|5|4|0
Chris Roycroft|STL|3.7|0|0|0|12.27|3.55|3|1|0
Justin Verlander|DET|3.7|0|0|0|12.27|2.18|1|1|0
Andre Granillo|WSH|4.3|0|0|0|12.46|2.54|1|1|0
Cristian Javier|HOU|9.3|0|0|0|12.54|2.36|4|2|0
José Alvarado|PHI|5.0|0|0|3|12.6|2.4|7|0|0
Bailey Falter|KCR|3.3|0|0|0|13.5|3.0|4|1|0
Phil Maton|CHC|4.0|0|0|0|13.5|2.5|5|1|0
Rolddy Muñoz|ATL|2.0|0|0|0|13.5|3.0|3|1|0
Matt Svanson|STL|9.7|0|0|1|13.97|2.48|9|3|0
Steven Cruz|KCR|5.0|0|0|0|14.4|2.2|7|4|0
Trevor Megill|MIL|5.0|0|3|0|14.4|2.4|5|0|0
Tyler Heineman|TOR|3.0|0|0|0|15.0|2.67|0|1|0
Brandon Eisert|CHW|2.3|0|0|0|15.43|3.0|2|0|0
Roddery Muñoz|HOU|4.0|0|0|0|15.75|3.25|6|3|0
Bryan Abreu|HOU|5.0|0|1|1|16.2|3.6|10|3|0
Ryan Johnson|LAA|3.3|0|0|0|16.2|3.3|2|1|0
Seth Johnson|PHI|1.7|0|0|0|16.2|3.6|1|0|0
Nick Raquet|BAL|1.7|0|0|0|16.2|2.4|0|1|0
Tyler Gilbert|CHW|1.0|0|0|0|18.0|3.0|0|1|0
Jedixson Paez|CHW|3.0|0|0|0|18.0|2.33|0|2|0
Joe Ross|ARI|3.7|0|0|1|19.64|3.0|2|1|0
Yaramil Hiraldo|BAL|1.7|0|0|0|21.6|4.2|2|2|0
José Buttó|SFG|2.0|0|0|0|22.5|5.0|5|2|0
Brendon Little|TOR|3.7|0|0|0|24.55|3.55|6|3|0
Matt Pushard|STL|1.0|0|0|0|27.0|4.0|1|0|0
James McCann|ARI|1.0|0|0|0|45.0|7.0|0|1|0
Jackson Rutledge|WSH|1.3|0|0|0|47.25|6.0|2|0|0
Nick Sandlin|LAA|0.3|0|0|0|54.0|3.0|0|0|0
Carlos Estévez|KCR|0.3|0|0|0|162.0|18.0|0|1|0
